''CGNDB_ID'',HR_UID,fk_healthregion_id
''AAAAR'',1012,25
''AAABS'',1011,26
''AAADK'',1014,27
''AAAFY'',1011,26
''AAAGM'',1011,26
''AAAHY'',1012,25
''AAAIH'',1011,26
''AAAKM'',1012,25
''AAAMM'',1012,25
''AAAQY'',1013,28
''AAATE'',1014,27
''AAAUP'',1012,25
''AAAWK'',1013,28
''AAAYB'',1011,26
''AAAYG'',1011,26
''AAAZE'',1013,28
''AABCX'',1011,26
''AABDA'',1012,25
''AABGS'',1011,26
''AABIG'',1013,28
''AABIK'',1012,25
''AABLH'',1014,27
''AABTS'',1012,25
''AABTV'',1011,26
''AABUE'',1013,28
''AABUX'',1014,27
''AABVH'',1011,26
''AABVJ'',1011,26
''AABVP'',1012,25
''AABWZ'',1013,28
''AABXA'',1301,18
''AACDG'',1014,27
''AACDL'',1011,26
''AACEN'',1011,26
''AACFU'',1014,27
''AACKH'',2410,83
''AACLK'',1013,28
''AACMK'',1012,25
''AACNM'',1012,25
''AACNT'',1012,25
''AACOA'',1011,26
''AACOM'',1011,26
''AACRQ'',1012,25
''AACRZ'',1012,25
''AACSN'',1014,27
''AACSR'',1012,25
''AACTA'',1011,26
''AACTF'',1011,26
''AACTW'',1011,26
''AACTY'',1011,26
''AACUZ'',1011,26
''AACVW'',1012,25
''AACVY'',1011,26
''AACWB'',1011,26
''AACXL'',1012,25
''AACXR'',1011,26
''AACYQ'',1011,26
''AACYY'',1012,25
''AADAM'',1012,25
''AADBQ'',1011,26
''AADBW'',1013,28
''AADCE'',1011,26
''AADCG'',1011,26
''AADCQ'',1012,25
''AADDD'',1012,25
''AADFL'',1011,26
''AADGM'',1014,27
''AADIL'',1011,26
''AADKW'',1011,26
''AADLP'',1013,28
''AADLR'',1012,25
''AADNA'',1011,26
''AADOD'',1011,26
''AADPF'',1012,25
''AADQK'',1014,27
''AADRO'',1011,26
''AADSR'',1011,26
''AADTF'',1012,25
''AADUB'',1011,26
''AADUK'',1011,26
''AADUM'',1011,26
''AADVB'',1012,25
''AADVG'',1013,28
''AADVM'',1011,26
''AADXA'',1011,26
''AADZL'',1014,27
''AAEBC'',1011,26
''AAEBH'',1011,26
''AAEBK'',1012,25
''AAEDX'',1012,25
''AAEFQ'',1013,28
''AAEGN'',1013,28
''AAEHC'',1011,26
''AAEIN'',1011,26
''AAEIU'',1012,25
''AAEJD'',1011,26
''AAEJG'',2409,74
''AAEJM'',1013,28
''AAEMC'',3555,56
''AAEOL'',1013,28
''AAEOU'',1013,28
''AAEPT'',1012,25
''AAERC'',1013,28
''AAESB'',1013,28
''AAETV'',1011,26
''AAFAD'',1011,26
''AAFBA'',1011,26
''AAFDB'',1013,28
''AAFDD'',1011,26
''AAFFP'',1012,25
''AAFGH'',1012,25
''AAFHH'',1012,25
''AAFHK'',1011,26
''AAFKA'',1013,28
''AAFKY'',1013,28
''AAFMU'',1013,28
''AAGBU'',1011,26
''AAGCI'',1011,26
''AAGCP'',1012,25
''AAGIW'',1012,25
''AAGKG'',1014,27
''AAGKJ'',1013,28
''AAGLS'',1011,26
''AAGLV'',1011,26
