id,code,eng_name,fre_name,estimated_pop,fk_healthregion_id,fk_province_id
1,A0A,Eastern Regional Health Authority,Eastern Regional Health Authority,8631,26,10
2,A0B,Eastern Regional Health Authority,Eastern Regional Health Authority,3066,26,10
3,A0C,Eastern Regional Health Authority,Eastern Regional Health Authority,32,26,10
4,A0E,Eastern Regional Health Authority,Eastern Regional Health Authority,1242,26,10
5,A0G,Central Regional Health Authority,Central Regional Health Authority,4366,25,10
6,A0H,Central Regional Health Authority,Central Regional Health Authority,2981,25,10
7,A0J,Central Regional Health Authority,Central Regional Health Authority,2705,25,10
8,A0K,Central Regional Health Authority,Central Regional Health Authority,25,25,10
9,A0K,Western Regional Health Authority,Western Regional Health Authority,221,28,10
10,A0K,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,969,27,10
11,A0L,Western Regional Health Authority,Western Regional Health Authority,3451,28,10
12,A0M,Western Regional Health Authority,Western Regional Health Authority,63,28,10
13,A0N,Western Regional Health Authority,Western Regional Health Authority,1015,28,10
14,A0P,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,242,27,10
15,A0R,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,139,27,10
16,A1A,Eastern Regional Health Authority,Eastern Regional Health Authority,29964,26,10
17,A1B,Eastern Regional Health Authority,Eastern Regional Health Authority,19712,26,10
18,A1C,Eastern Regional Health Authority,Eastern Regional Health Authority,12606,26,10
19,A1E,Eastern Regional Health Authority,Eastern Regional Health Authority,26688,26,10
20,A1G,Eastern Regional Health Authority,Eastern Regional Health Authority,5747,26,10
21,A1H,Eastern Regional Health Authority,Eastern Regional Health Authority,5375,26,10
22,A1K,Eastern Regional Health Authority,Eastern Regional Health Authority,12134,26,10
23,A1L,Eastern Regional Health Authority,Eastern Regional Health Authority,21334,26,10
24,A1M,Eastern Regional Health Authority,Eastern Regional Health Authority,8026,26,10
25,A1N,Eastern Regional Health Authority,Eastern Regional Health Authority,22905,26,10
26,A1S,Eastern Regional Health Authority,Eastern Regional Health Authority,6505,26,10
27,A1V,Central Regional Health Authority,Central Regional Health Authority,11683,25,10
28,A1W,Eastern Regional Health Authority,Eastern Regional Health Authority,10985,26,10
29,A1X,Eastern Regional Health Authority,Eastern Regional Health Authority,15052,26,10
30,A1Y,Eastern Regional Health Authority,Eastern Regional Health Authority,4551,26,10
31,A2A,Central Regional Health Authority,Central Regional Health Authority,8261,25,10
32,A2B,Central Regional Health Authority,Central Regional Health Authority,4908,25,10
33,A2H,Western Regional Health Authority,Western Regional Health Authority,23943,28,10
34,A2N,Western Regional Health Authority,Western Regional Health Authority,8379,28,10
35,A2V,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,7205,27,10
36,A5A,Eastern Regional Health Authority,Eastern Regional Health Authority,6226,26,10
37,A8A,Western Regional Health Authority,Western Regional Health Authority,6505,28,10
38,B0C,Zone 3 - Eastern,Zone 3 - Eastern,2311,31,12
39,B0E,Zone 3 - Eastern,Zone 3 - Eastern,16647,31,12
40,B0H,Zone 3 - Eastern,Zone 3 - Eastern,8176,31,12
41,B0J,Zone 1 - Western,Zone 1 - Western,20080,29,12
42,B0J,Zone 3 - Eastern,Zone 3 - Eastern,1157,31,12
43,B0J,Zone 4 - Central,Zone 4 - Central,12503,32,12
44,B0K,Zone 2 - Northern,Zone 2 - Northern,26593,30,12
45,B0K,Zone 3 - Eastern,Zone 3 - Eastern,41,31,12
46,B0L,Zone 2 - Northern,Zone 2 - Northern,1483,30,12
47,B0M,Zone 2 - Northern,Zone 2 - Northern,12390,30,12
48,B0N,Zone 1 - Western,Zone 1 - Western,0,29,12
49,B0N,Zone 2 - Northern,Zone 2 - Northern,16580,30,12
50,B0N,Zone 4 - Central,Zone 4 - Central,17349,32,12
51,B0P,Zone 1 - Western,Zone 1 - Western,30854,29,12
52,B0P,Zone 4 - Central,Zone 4 - Central,3722,32,12
53,B0R,Zone 1 - Western,Zone 1 - Western,5413,29,12
54,B0S,Zone 1 - Western,Zone 1 - Western,14284,29,12
55,B0T,Zone 1 - Western,Zone 1 - Western,7953,29,12
56,B0V,Zone 1 - Western,Zone 1 - Western,2558,29,12
57,B0W,Zone 1 - Western,Zone 1 - Western,19773,29,12
58,B1A,Zone 3 - Eastern,Zone 3 - Eastern,15210,31,12
59,B1B,Zone 3 - Eastern,Zone 3 - Eastern,1202,31,12
60,B1C,Zone 3 - Eastern,Zone 3 - Eastern,1741,31,12
61,B1E,Zone 3 - Eastern,Zone 3 - Eastern,1627,31,12
62,B1G,Zone 3 - Eastern,Zone 3 - Eastern,1925,31,12
63,B1H,Zone 3 - Eastern,Zone 3 - Eastern,9509,31,12
64,B1J,Zone 3 - Eastern,Zone 3 - Eastern,1159,31,12
65,B1K,Zone 3 - Eastern,Zone 3 - Eastern,2816,31,12
66,B1L,Zone 3 - Eastern,Zone 3 - Eastern,5359,31,12
67,B1M,Zone 3 - Eastern,Zone 3 - Eastern,1518,31,12
68,B1N,Zone 3 - Eastern,Zone 3 - Eastern,5870,31,12
69,B1P,Zone 3 - Eastern,Zone 3 - Eastern,13656,31,12
70,B1R,Zone 3 - Eastern,Zone 3 - Eastern,3807,31,12
71,B1S,Zone 3 - Eastern,Zone 3 - Eastern,8323,31,12
72,B1T,Zone 3 - Eastern,Zone 3 - Eastern,301,31,12
73,B1V,Zone 3 - Eastern,Zone 3 - Eastern,6245,31,12
74,B1W,Zone 3 - Eastern,Zone 3 - Eastern,3389,31,12
75,B1X,Zone 3 - Eastern,Zone 3 - Eastern,944,31,12
76,B1Y,Zone 3 - Eastern,Zone 3 - Eastern,6230,31,12
77,B2A,Zone 3 - Eastern,Zone 3 - Eastern,7821,31,12
78,B2C,Zone 3 - Eastern,Zone 3 - Eastern,383,31,12
79,B2E,Zone 3 - Eastern,Zone 3 - Eastern,77,31,12
80,B2G,Zone 3 - Eastern,Zone 3 - Eastern,13609,31,12
81,B2H,Zone 2 - Northern,Zone 2 - Northern,14206,30,12
82,B2J,Zone 3 - Eastern,Zone 3 - Eastern,203,31,12
83,B2N,Zone 2 - Northern,Zone 2 - Northern,19179,30,12
84,B2R,Zone 4 - Central,Zone 4 - Central,2117,32,12
85,B2S,Zone 2 - Northern,Zone 2 - Northern,6650,30,12
86,B2S,Zone 4 - Central,Zone 4 - Central,673,32,12
87,B2T,Zone 2 - Northern,Zone 2 - Northern,3872,30,12
88,B2T,Zone 4 - Central,Zone 4 - Central,13207,32,12
89,B2V,Zone 4 - Central,Zone 4 - Central,12222,32,12
90,B2W,Zone 4 - Central,Zone 4 - Central,32225,32,12
91,B2X,Zone 4 - Central,Zone 4 - Central,11089,32,12
92,B2Y,Zone 4 - Central,Zone 4 - Central,14602,32,12
93,B2Z,Zone 4 - Central,Zone 4 - Central,8487,32,12
94,B3A,Zone 4 - Central,Zone 4 - Central,19352,32,12
95,B3B,Zone 4 - Central,Zone 4 - Central,1440,32,12
96,B3E,Zone 4 - Central,Zone 4 - Central,6393,32,12
97,B3G,Zone 4 - Central,Zone 4 - Central,10598,32,12
98,B3H,Zone 4 - Central,Zone 4 - Central,18808,32,12
99,B3J,Zone 4 - Central,Zone 4 - Central,5784,32,12
100,B3K,Zone 4 - Central,Zone 4 - Central,19009,32,12
101,B3L,Zone 4 - Central,Zone 4 - Central,17356,32,12
102,B3M,Zone 4 - Central,Zone 4 - Central,31472,32,12
103,B3N,Zone 4 - Central,Zone 4 - Central,13606,32,12
104,B3P,Zone 4 - Central,Zone 4 - Central,8910,32,12
105,B3R,Zone 4 - Central,Zone 4 - Central,8143,32,12
106,B3S,Zone 4 - Central,Zone 4 - Central,12829,32,12
107,B3T,Zone 4 - Central,Zone 4 - Central,17050,32,12
108,B3V,Zone 4 - Central,Zone 4 - Central,6350,32,12
109,B3Z,Zone 4 - Central,Zone 4 - Central,16283,32,12
110,B4A,Zone 4 - Central,Zone 4 - Central,17656,32,12
111,B4B,Zone 4 - Central,Zone 4 - Central,11911,32,12
112,B4C,Zone 4 - Central,Zone 4 - Central,17984,32,12
113,B4E,Zone 4 - Central,Zone 4 - Central,19345,32,12
114,B4G,Zone 4 - Central,Zone 4 - Central,4329,32,12
115,B4H,Zone 2 - Northern,Zone 2 - Northern,13278,30,12
116,B4N,Zone 1 - Western,Zone 1 - Western,17402,29,12
117,B4P,Zone 1 - Western,Zone 1 - Western,7258,29,12
118,B4R,Zone 1 - Western,Zone 1 - Western,2939,29,12
119,B4V,Zone 1 - Western,Zone 1 - Western,19850,29,12
120,B5A,Zone 1 - Western,Zone 1 - Western,15523,29,12
121,B6L,Zone 2 - Northern,Zone 2 - Northern,12720,30,12
122,B9A,Zone 3 - Eastern,Zone 3 - Eastern,4303,31,12
123,C0A,Prince Edward Island,Ile-du-Prince-edouard,35102,69,11
124,C0B,Prince Edward Island,Ile-du-Prince-edouard,16395,69,11
125,C1A,Prince Edward Island,Ile-du-Prince-edouard,24212,69,11
126,C1B,Prince Edward Island,Ile-du-Prince-edouard,12289,69,11
127,C1C,Prince Edward Island,Ile-du-Prince-edouard,4141,69,11
128,C1E,Prince Edward Island,Ile-du-Prince-edouard,10625,69,11
129,C1N,Prince Edward Island,Ile-du-Prince-edouard,15962,69,11
130,E1A,Zone 1 (Moncton area),Zone 1 (region de Moncton),39669,18,13
131,E1B,Zone 1 (Moncton area),Zone 1 (region de Moncton),19662,18,13
132,E1C,Zone 1 (Moncton area),Zone 1 (region de Moncton),23768,18,13
133,E1E,Zone 1 (Moncton area),Zone 1 (region de Moncton),10986,18,13
134,E1G,Zone 1 (Moncton area),Zone 1 (region de Moncton),21722,18,13
135,E1H,Zone 1 (Moncton area),Zone 1 (region de Moncton),7650,18,13
136,E1J,Zone 1 (Moncton area),Zone 1 (region de Moncton),3003,18,13
137,E1N,Zone 1 (Moncton area),Zone 1 (region de Moncton),32,18,13
138,E1N,Zone 7 (Miramichi area),Zone 7 (region de Miramichi),10834,24,13
139,E1V,Zone 2 (Saint John area),Zone 2 (region de Saint John),0,19,13
140,E1V,Zone 7 (Miramichi area),Zone 7 (region de Miramichi),13036,24,13
141,E1W,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),6838,23,13
142,E1X,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),13573,23,13
143,E1X,Zone 7 (Miramichi area),Zone 7 (region de Miramichi),0,24,13
144,E2A,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),17087,23,13
145,E2E,Zone 2 (Saint John area),Zone 2 (region de Saint John),20315,19,13
146,E2G,Zone 2 (Saint John area),Zone 2 (region de Saint John),4601,19,13
147,E2H,Zone 2 (Saint John area),Zone 2 (region de Saint John),4225,19,13
148,E2J,Zone 2 (Saint John area),Zone 2 (region de Saint John),16220,19,13
149,E2K,Zone 2 (Saint John area),Zone 2 (region de Saint John),16316,19,13
150,E2L,Zone 2 (Saint John area),Zone 2 (region de Saint John),7395,19,13
151,E2M,Zone 2 (Saint John area),Zone 2 (region de Saint John),18394,19,13
152,E2N,Zone 2 (Saint John area),Zone 2 (region de Saint John),4050,19,13
153,E2P,Zone 2 (Saint John area),Zone 2 (region de Saint John),1138,19,13
154,E2R,Zone 2 (Saint John area),Zone 2 (region de Saint John),173,19,13
155,E2S,Zone 2 (Saint John area),Zone 2 (region de Saint John),6389,19,13
156,E2V,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),13715,20,13
157,E3A,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),27300,20,13
158,E3B,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),35860,20,13
159,E3C,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),11231,20,13
160,E3E,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),4902,20,13
161,E3G,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),9118,20,13
162,E3L,Zone 2 (Saint John area),Zone 2 (region de Saint John),8487,19,13
163,E3N,Zone 5 (Campbellton area),Zone 5 (region de Campbellton),12388,22,13
164,E3V,Zone 4 (Edmundston area),Zone 4 (region d'Edmundston),10344,21,13
165,E3Y,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),0,20,13
166,E3Y,Zone 4 (Edmundston area),Zone 4 (region d'Edmundston),6863,21,13
167,E3Z,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),0,20,13
