hr_uid,id,"VLOOKUP(E2,$A$2:$B$95,2,FALSE"
1,1,
99,2,
471,89,
472,90,
473,88,
474,92,
475,91,
476,93,
591,8,
592,9,
593,10,
594,11,
595,12,
1011,26,
1012,25,
1013,28,
1014,27,
1100,69,
1201,29,
1202,30,
1203,31,
1204,32,
1301,18,
1302,19,
1303,20,
1304,21,
1305,22,
1306,23,
1307,24,
2401,71,
2402,86,
2403,72,
2404,80,
2405,75,
2406,82,
2407,85,
2408,70,
2409,74,
2410,83,
2411,76,
2412,73,
2413,79,
2414,77,
2415,78,
2416,81,
2417,84,
2418,87,
3526,35,
3527,36,
3530,38,
3533,40,
3534,41,
3535,42,
3536,43,
3537,44,
3538,45,
3539,46,
3540,37,
3541,47,
3542,48,
3543,49,
3544,50,
3546,51,
3547,52,
3549,53,
3551,54,
3553,55,
3555,56,
3556,57,
3557,58,
3558,39,
3560,59,
3561,61,
3562,62,
3563,63,
3565,65,
3566,66,
3568,67,
3570,68,
3575,60,
3595,64,
4601,17,
4602,15,
4603,13,
4604,14,
4605,16,
4831,7,
4832,3,
4833,4,
4834,5,
4835,6,
6001,94,
6101,34,
6201,33,
