id,hr_uid,name_en,name_fr,pop,website_en,website_fr,en_prov_vaccine_site,fr_prov_vaccine_site,fk_province_id
1,1,Canada,Canada,37589262,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html,https://sante-infobase.canada.ca/covid-19/resume-epidemiologique-cas-covid-19.html,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html,https://sante-infobase.canada.ca/covid-19/resume-epidemiologique-cas-covid-19.html,88
2,99,Repatriated,Repatriated,99999,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html,https://sante-infobase.canada.ca/covid-19/resume-epidemiologique-cas-covid-19.html,https://health-infobase.canada.ca/covid-19/epidemiological-summary-covid-19-cases.html,https://sante-infobase.canada.ca/covid-19/resume-epidemiologique-cas-covid-19.html,88
89,471,Far North,Far North,37286,https://www.saskhealthauthority.ca/,https://www.saskhealthauthority.ca/,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/covid-19-vaccine/vaccine-booking,https://www.saskatchewan.ca/bonjour/health-and-healthy-living/2019-novel-coronavirus/covid19-vaccine/vaccine-booking,47
90,472,North,North,196053,https://www.saskhealthauthority.ca/,https://www.saskhealthauthority.ca/,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/covid-19-vaccine/vaccine-booking,https://www.saskatchewan.ca/bonjour/health-and-healthy-living/2019-novel-coronavirus/covid19-vaccine/vaccine-booking,47
88,473,Central,Central,98824,https://www.saskhealthauthority.ca/,https://www.saskhealthauthority.ca/,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/covid-19-vaccine/vaccine-booking,https://www.saskatchewan.ca/bonjour/health-and-healthy-living/2019-novel-coronavirus/covid19-vaccine/vaccine-booking,47
92,474,Saskatoon,Saskatoon,372794,https://www.saskhealthauthority.ca/,https://www.saskhealthauthority.ca/,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/covid-19-vaccine/vaccine-booking,https://www.saskatchewan.ca/bonjour/health-and-healthy-living/2019-novel-coronavirus/covid19-vaccine/vaccine-booking,47
91,475,Regina,Regina,300166,https://www.saskhealthauthority.ca/,https://www.saskhealthauthority.ca/,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/covid-19-vaccine/vaccine-booking,https://www.saskatchewan.ca/bonjour/health-and-healthy-living/2019-novel-coronavirus/covid19-vaccine/vaccine-booking,47
93,476,South,South,156939,https://www.saskhealthauthority.ca/,https://www.saskhealthauthority.ca/,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/covid-19-vaccine/vaccine-booking,https://www.saskatchewan.ca/bonjour/health-and-healthy-living/2019-novel-coronavirus/covid19-vaccine/vaccine-booking,47
8,591,Fraser,Fraser,1860798,https://www.fraserhealth.ca/health-topics-a-to-z/coronavirus#.XqeSQWhKg2w,https://www.fraserhealth.ca/health-topics-a-to-z/coronavirus#.XqeSQWhKg2w,https://www2.gov.bc.ca/gov/content/covid-19/vaccine/register,https://www2.gov.bc.ca/gov/content/covid-19/translation/fr/register,59
9,592,Interior,Interior,789223,https://news.interiorhealth.ca/covid-19/,https://news.interiorhealth.ca/covid-19/,https://www2.gov.bc.ca/gov/content/covid-19/vaccine/register,https://www2.gov.bc.ca/gov/content/covid-19/translation/fr/register,59
10,593,Island,Island,835871,https://www.islandhealth.ca/learn-about-health/covid-19/,https://www.islandhealth.ca/learn-about-health/covid-19/,https://www2.gov.bc.ca/gov/content/covid-19/vaccine/register,https://www2.gov.bc.ca/gov/content/covid-19/translation/fr/register,59
11,594,Northern,Northern,294904,https://www.northernhealth.ca/health-topics/coronavirus-information-covid-19#trusted-information#northern-health,https://www.northernhealth.ca/health-topics/coronavirus-information-covid-19#trusted-information#northern-health,https://www2.gov.bc.ca/gov/content/covid-19/vaccine/register,https://www2.gov.bc.ca/gov/content/covid-19/translation/fr/register,59
12,595,Vancouver Coastal,Vancouver Coastal,1210891,http://www.vch.ca/covid-19,http://www.vch.ca/covid-19,https://www2.gov.bc.ca/gov/content/covid-19/vaccine/register,https://www2.gov.bc.ca/gov/content/covid-19/translation/fr/register,59
26,1011,Eastern,Eastern,319135,https://www.gov.nl.ca/covid-19/,https://www.gov.nl.ca/covid-19/fr/ressources/,https://www.gov.nl.ca/covid-19/vaccine/gettheshot/,https://www.gov.nl.ca/covid-19/vaccine/fr/administration-du-vaccin/,10
25,1012,Central,Central,92311,https://www.gov.nl.ca/covid-19/,https://www.gov.nl.ca/covid-19/fr/ressources/,https://www.gov.nl.ca/covid-19/vaccine/gettheshot/,https://www.gov.nl.ca/covid-19/vaccine/fr/administration-du-vaccin/,10
28,1013,Western,Western,77509,https://www.gov.nl.ca/covid-19/,https://www.gov.nl.ca/covid-19/fr/ressources/,https://www.gov.nl.ca/covid-19/vaccine/gettheshot/,https://www.gov.nl.ca/covid-19/vaccine/fr/administration-du-vaccin/,10
27,1014,Labrador-Grenfell,Labrador-Grenfell,36400,https://www.gov.nl.ca/covid-19/,https://www.gov.nl.ca/covid-19/fr/ressources/,https://www.gov.nl.ca/covid-19/vaccine/gettheshot/,https://www.gov.nl.ca/covid-19/vaccine/fr/administration-du-vaccin/,10
69,1100,Prince Edward Island,Prince Edward Island,153244,https://www.princeedwardisland.ca/en/topic/covid-19,https://www.princeedwardisland.ca/fr/sujet/covid-19,https://pe.skipthewaitingroom.com/walk-in-clinic-provider/covid-vaccination-clinic,https://pe.skipthewaitingroom.com/walk-in-clinic-provider/covid-vaccination-clinic,11
29,1201,Zone 1 - Western,Zone 1 - Western,199181,https://novascotia.ca/coronavirus/,https://novascotia.ca/coronavirus/fr/,https://novascotia.flow.canimmunize.ca/en/2020202112019-7415369,https://novascotia.ca/coronavirus/book-your-vaccination-appointment/fr/,12
30,1202,Zone 2 - Northern,Zone 2 - Northern,148368,https://novascotia.ca/coronavirus/,https://novascotia.ca/coronavirus/fr/,https://novascotia.flow.canimmunize.ca/en/2020202112019-1475369,https://novascotia.ca/coronavirus/book-your-vaccination-appointment/fr/,12
31,1203,Zone 3 - Eastern,Zone 3 - Eastern,160775,https://novascotia.ca/coronavirus/,https://novascotia.ca/coronavirus/fr/,https://novascotia.flow.canimmunize.ca/en/2020202112019-9874123,https://novascotia.ca/coronavirus/book-your-vaccination-appointment/fr/,12
