id,CGNDB_ID,HR_UID,fk_healthregion_id
1,AAAAR,1012,25
2,AAABS,1011,26
3,AAADK,1014,27
4,AAAFY,1011,26
5,AAAGM,1011,26
6,AAAHY,1012,25
7,AAAIH,1011,26
8,AAAKM,1012,25
9,AAAMM,1012,25
10,AAAQY,1013,28
11,AAATE,1014,27
12,AAAUP,1012,25
13,AAAWK,1013,28
14,AAAYB,1011,26
15,AAAYG,1011,26
16,AAAZE,1013,28
17,AABCX,1011,26
18,AABDA,1012,25
19,AABGS,1011,26
20,AABIG,1013,28
21,AABIK,1012,25
22,AABLH,1014,27
23,AABTS,1012,25
24,AABTV,1011,26
25,AABUE,1013,28
26,AABUX,1014,27
27,AABVH,1011,26
28,AABVJ,1011,26
29,AABVP,1012,25
30,AABWZ,1013,28
31,AABXA,1301,18
32,AACDG,1014,27
33,AACDL,1011,26
34,AACEN,1011,26
35,AACFU,1014,27
36,AACKH,2410,83
37,AACLK,1013,28
38,AACMK,1012,25
39,AACNM,1012,25
40,AACNT,1012,25
41,AACOA,1011,26
42,AACOM,1011,26
43,AACRQ,1012,25
44,AACRZ,1012,25
45,AACSN,1014,27
46,AACSR,1012,25
47,AACTA,1011,26
48,AACTF,1011,26
49,AACTW,1011,26
50,AACTY,1011,26
51,AACUZ,1011,26
52,AACVW,1012,25
53,AACVY,1011,26
54,AACWB,1011,26
55,AACXL,1012,25
56,AACXR,1011,26
57,AACYQ,1011,26
58,AACYY,1012,25
59,AADAM,1012,25
60,AADBQ,1011,26
61,AADBW,1013,28
62,AADCE,1011,26
63,AADCG,1011,26
64,AADCQ,1012,25
65,AADDD,1012,25
66,AADFL,1011,26
67,AADGM,1014,27
68,AADIL,1011,26
69,AADKW,1011,26
70,AADLP,1013,28
71,AADLR,1012,25
72,AADNA,1011,26
73,AADOD,1011,26
74,AADPF,1012,25
75,AADQK,1014,27
76,AADRO,1011,26
77,AADSR,1011,26
78,AADTF,1012,25
79,AADUB,1011,26
80,AADUK,1011,26
81,AADUM,1011,26
82,AADVB,1012,25
83,AADVG,1013,28
84,AADVM,1011,26
85,AADXA,1011,26
86,AADZL,1014,27
87,AAEBC,1011,26
88,AAEBH,1011,26
89,AAEBK,1012,25
90,AAEDX,1012,25
91,AAEFQ,1013,28
92,AAEGN,1013,28
93,AAEHC,1011,26
94,AAEIN,1011,26
95,AAEIU,1012,25
96,AAEJD,1011,26
97,AAEJG,2409,74
98,AAEJM,1013,28
99,AAEMC,3555,56
100,AAEOL,1013,28
101,AAEOU,1013,28
102,AAEPT,1012,25
103,AAERC,1013,28
104,AAESB,1013,28
105,AAETV,1011,26
106,AAFAD,1011,26
107,AAFBA,1011,26
108,AAFDB,1013,28
109,AAFDD,1011,26
110,AAFFP,1012,25
111,AAFGH,1012,25
112,AAFHH,1012,25
113,AAFHK,1011,26
114,AAFKA,1013,28
115,AAFKY,1013,28
116,AAFMU,1013,28
117,AAGBU,1011,26
118,AAGCI,1011,26
119,AAGCP,1012,25
120,AAGIW,1012,25
121,AAGKG,1014,27
122,AAGKJ,1013,28
123,AAGLS,1011,26
124,AAGLV,1011,26
125,AAGMH,1012,25
126,AAGMV,1014,27
127,AAGNB,1011,26
128,AAGNE,1011,26
129,AAGNH,1012,25
130,AAGNM,1014,27
131,AAGOI,1011,26
132,AAGQK,1011,26
133,AAGUG,1011,26
134,AAHAR,1013,28
135,AAHDA,1012,25
136,AAHDU,2405,75
137,AAHEG,1012,25
138,AAHFY,1014,27
139,AAHGF,1011,26
140,AAHIF,1011,26
141,AAHJA,1011,26
142,AAHKJ,1013,28
143,AAHLM,1013,28
144,AAHLO,1011,26
145,AAHLW,1013,28
146,AAHMO,1012,25
147,AAHSV,1012,25
148,AAHSX,1012,25
149,AAHTO,1011,26
150,AAHTY,1013,28
151,AAHUF,2407,85
152,AAHUZ,1012,25
153,AAHYE,1013,28
154,AAHZP,1013,28
155,AAHZV,1012,25
156,AAIAF,1012,25
157,AAIAG,1012,25
158,AAICA,1011,26
159,AAIDB,1011,26
160,AAIEJ,2414,77
161,AAIGT,1011,26
162,AAIHR,1011,26
163,AAIHX,1013,28
164,AAIIA,1011,26
165,AAIIC,1013,28
166,AAIJH,1013,28
167,AAILI,1011,26
168,AAIMN,1011,26
169,AAIMS,1014,27
170,AAINI,1013,28
171,AAITY,1014,27
172,AAITZ,1014,27
173,AAIVT,1011,26
174,AAIVX,1012,25
175,AAIXC,1013,28
176,AAIYC,1014,27
177,AAJCS,1014,27
178,AAJIJ,1013,28
179,AAJJO,1013,28
180,AAJKL,1011,26
181,AAJKO,1012,25
182,AAJKQ,1012,25
183,AAJKX,1011,26
184,AAJLS,1013,28
185,AAJLU,1011,26
186,AAJLY,2405,75
187,AAJMY,1011,26
188,AAJNN,1012,25
189,AAJQF,1012,25
190,AAJRD,1011,26
191,AAJUJ,1011,26
192,AAJUM,1011,26
193,AAJUP,1011,26
194,AAJUW,1013,28
195,AAJYI,1011,26
196,AAJYO,1011,26
197,AAJZT,1011,26
198,AAKAO,1011,26
199,AAKCY,1011,26
200,AAKDE,1014,27
201,AAKFA,1012,25
202,AAKFX,1013,28
203,AAKKP,1012,25
204,AAKLB,1012,25
205,AAKQE,1013,28
206,AAKRB,1011,26
207,AAKSD,1012,25
208,AAKVD,1013,28
209,AAKVJ,1011,26
210,AAKWP,1013,28
211,AAKWW,1013,28
212,AAKWY,1012,25
213,AAKXP,1011,26
214,AAKYA,1011,26
215,AAKYJ,1011,26
216,AAKZB,1013,28
217,AAKZF,1012,25
218,AALAG,1011,26
219,AALBU,1011,26
220,AALCF,1012,25
221,AALJP,1011,26
222,AALJV,1011,26
223,AALOV,1011,26
224,AALPI,1012,25
225,AALPQ,1011,26
226,AALRA,1011,26
227,AALTG,1012,25
228,AALTM,1011,26
229,AALUU,1011,26
230,AALVL,1011,26
231,AALXK,1014,27
232,AALXL,1014,27
233,AALXT,1014,27
234,AALYC,1013,28
235,AALYM,1013,28
236,AALZF,1012,25
237,AALZL,1011,26
238,AAMAD,1011,26
239,AAMCH,1011,26
240,AAMCN,1011,26
241,AAMDG,1012,25
242,AAMGH,1011,26
243,AAMGO,1012,25
244,AAMIA,1012,25
245,AAMIM,1011,26
246,AAMNE,1011,26
247,AAMQT,1013,28
248,AAMTB,1011,26
249,AAMVZ,1011,26
250,AAMWP,1011,26
251,AAMXD,1011,26
252,AAMXU,1011,26
253,AANEB,1011,26
254,AANFW,1012,25
255,AANGX,1011,26
256,AANIC,1013,28
257,AANIW,1013,28
258,AANJW,1011,26
259,AANLW,1012,25
260,AANMD,1012,25
261,AANMP,1011,26
262,AANNO,1011,26
263,AANON,1011,26
264,AANPF,1014,27
265,AANPP,1013,28
266,AANPS,1012,25
267,AANQP,2404,80
268,AANTV,1013,28
269,AANUD,1013,28
270,AANVD,1011,26
271,AANXD,1014,27
272,AANXG,1011,26
273,AANYD,1013,28
274,AANYZ,1012,25
275,AANZJ,1013,28
276,AANZR,1013,28
277,AAOAG,1013,28
278,AAOAY,1011,26
279,AAOIL,1012,25
280,AAOJL,1012,25
