FSA,HR_UID,Prov,ENGNAME,FRENAME,EstimatedPop,fk_healthregion_id,fk_province_id
A0A,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,8631,26,10
A0B,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,3066,26,10
A0C,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,32,26,10
A0E,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,1242,26,10
A0G,1012,10,Central Regional Health Authority,Central Regional Health Authority,4366,25,10
A0H,1012,10,Central Regional Health Authority,Central Regional Health Authority,2981,25,10
A0J,1012,10,Central Regional Health Authority,Central Regional Health Authority,2705,25,10
A0K,1012,10,Central Regional Health Authority,Central Regional Health Authority,25,25,10
A0K,1013,10,Western Regional Health Authority,Western Regional Health Authority,221,28,10
A0K,1014,10,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,969,27,10
A0L,1013,10,Western Regional Health Authority,Western Regional Health Authority,3451,28,10
A0M,1013,10,Western Regional Health Authority,Western Regional Health Authority,63,28,10
A0N,1013,10,Western Regional Health Authority,Western Regional Health Authority,1015,28,10
A0P,1014,10,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,242,27,10
A0R,1014,10,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,139,27,10
A1A,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,29964,26,10
A1B,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,19712,26,10
A1C,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,12606,26,10
A1E,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,26688,26,10
A1G,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,5747,26,10
A1H,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,5375,26,10
A1K,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,12134,26,10
A1L,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,21334,26,10
A1M,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,8026,26,10
A1N,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,22905,26,10
A1S,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,6505,26,10
A1V,1012,10,Central Regional Health Authority,Central Regional Health Authority,11683,25,10
A1W,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,10985,26,10
A1X,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,15052,26,10
A1Y,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,4551,26,10
A2A,1012,10,Central Regional Health Authority,Central Regional Health Authority,8261,25,10
A2B,1012,10,Central Regional Health Authority,Central Regional Health Authority,4908,25,10
A2H,1013,10,Western Regional Health Authority,Western Regional Health Authority,23943,28,10
A2N,1013,10,Western Regional Health Authority,Western Regional Health Authority,8379,28,10
A2V,1014,10,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,7205,27,10
A5A,1011,10,Eastern Regional Health Authority,Eastern Regional Health Authority,6226,26,10
A8A,1013,10,Western Regional Health Authority,Western Regional Health Authority,6505,28,10
B0C,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,2311,31,12
B0E,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,16647,31,12
B0H,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,8176,31,12
B0J,1201,12,Zone 1 - Western,Zone 1 - Western,20080,29,12
B0J,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,1157,31,12
B0J,1204,12,Zone 4 - Central,Zone 4 - Central,12503,32,12
B0K,1202,12,Zone 2 - Northern,Zone 2 - Northern,26593,30,12
B0K,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,41,31,12
B0L,1202,12,Zone 2 - Northern,Zone 2 - Northern,1483,30,12
B0M,1202,12,Zone 2 - Northern,Zone 2 - Northern,12390,30,12
B0N,1201,12,Zone 1 - Western,Zone 1 - Western,,29,12
B0N,1202,12,Zone 2 - Northern,Zone 2 - Northern,16580,30,12
B0N,1204,12,Zone 4 - Central,Zone 4 - Central,17349,32,12
B0P,1201,12,Zone 1 - Western,Zone 1 - Western,30854,29,12
B0P,1204,12,Zone 4 - Central,Zone 4 - Central,3722,32,12
B0R,1201,12,Zone 1 - Western,Zone 1 - Western,5413,29,12
B0S,1201,12,Zone 1 - Western,Zone 1 - Western,14284,29,12
B0T,1201,12,Zone 1 - Western,Zone 1 - Western,7953,29,12
B0V,1201,12,Zone 1 - Western,Zone 1 - Western,2558,29,12
B0W,1201,12,Zone 1 - Western,Zone 1 - Western,19773,29,12
B1A,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,15210,31,12
B1B,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,1202,31,12
B1C,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,1741,31,12
B1E,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,1627,31,12
B1G,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,1925,31,12
B1H,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,9509,31,12
B1J,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,1159,31,12
B1K,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,2816,31,12
B1L,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,5359,31,12
B1M,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,1518,31,12
B1N,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,5870,31,12
B1P,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,13656,31,12
B1R,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,3807,31,12
B1S,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,8323,31,12
B1T,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,301,31,12
B1V,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,6245,31,12
B1W,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,3389,31,12
B1X,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,944,31,12
B1Y,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,6230,31,12
B2A,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,7821,31,12
B2C,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,383,31,12
B2E,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,77,31,12
B2G,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,13609,31,12
B2H,1202,12,Zone 2 - Northern,Zone 2 - Northern,14206,30,12
B2J,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,203,31,12
B2N,1202,12,Zone 2 - Northern,Zone 2 - Northern,19179,30,12
B2R,1204,12,Zone 4 - Central,Zone 4 - Central,2117,32,12
B2S,1202,12,Zone 2 - Northern,Zone 2 - Northern,6650,30,12
B2S,1204,12,Zone 4 - Central,Zone 4 - Central,673,32,12
B2T,1202,12,Zone 2 - Northern,Zone 2 - Northern,3872,30,12
B2T,1204,12,Zone 4 - Central,Zone 4 - Central,13207,32,12
B2V,1204,12,Zone 4 - Central,Zone 4 - Central,12222,32,12
B2W,1204,12,Zone 4 - Central,Zone 4 - Central,32225,32,12
B2X,1204,12,Zone 4 - Central,Zone 4 - Central,11089,32,12
B2Y,1204,12,Zone 4 - Central,Zone 4 - Central,14602,32,12
B2Z,1204,12,Zone 4 - Central,Zone 4 - Central,8487,32,12
B3A,1204,12,Zone 4 - Central,Zone 4 - Central,19352,32,12
B3B,1204,12,Zone 4 - Central,Zone 4 - Central,1440,32,12
B3E,1204,12,Zone 4 - Central,Zone 4 - Central,6393,32,12
B3G,1204,12,Zone 4 - Central,Zone 4 - Central,10598,32,12
B3H,1204,12,Zone 4 - Central,Zone 4 - Central,18808,32,12
B3J,1204,12,Zone 4 - Central,Zone 4 - Central,5784,32,12
B3K,1204,12,Zone 4 - Central,Zone 4 - Central,19009,32,12
B3L,1204,12,Zone 4 - Central,Zone 4 - Central,17356,32,12
B3M,1204,12,Zone 4 - Central,Zone 4 - Central,31472,32,12
B3N,1204,12,Zone 4 - Central,Zone 4 - Central,13606,32,12
B3P,1204,12,Zone 4 - Central,Zone 4 - Central,8910,32,12
B3R,1204,12,Zone 4 - Central,Zone 4 - Central,8143,32,12
B3S,1204,12,Zone 4 - Central,Zone 4 - Central,12829,32,12
B3T,1204,12,Zone 4 - Central,Zone 4 - Central,17050,32,12
B3V,1204,12,Zone 4 - Central,Zone 4 - Central,6350,32,12
B3Z,1204,12,Zone 4 - Central,Zone 4 - Central,16283,32,12
