province,health_region,date_report,cases,cumulative_cases,deaths,cumulative_deaths,numtotal_last14,numdeaths_last14,numtotal_last7,numdeaths_last7,avgtotal_last7,avgdeaths_last7
Alberta,Calgary,2022-03-07,373.0,212909.0,4.0,1089.0,2840.0,38.0,914.0,12.0,130.57142857142858,1.7142857142857142
Alberta,Calgary,2022-03-08,199.0,213108.0,1.0,1090.0,3039.0,39.0,1113.0,13.0,159.0,1.8571428571428572
Alberta,Calgary,2022-03-09,159.0,213267.0,1.0,1091.0,2113.0,23.0,1043.0,9.0,149.0,1.2857142857142858
Alberta,Calgary,2022-03-10,202.0,213469.0,1.0,1092.0,2104.0,24.0,1064.0,9.0,152.0,1.2857142857142858
Alberta,Calgary,2022-03-11,172.0,213641.0,2.0,1094.0,2106.0,22.0,1105.0,9.0,157.85714285714286,1.2857142857142858
Alberta,Calgary,2022-03-12,0.0,213641.0,0.0,1094.0,2106.0,22.0,1105.0,9.0,157.85714285714286,1.2857142857142858
Alberta,Calgary,2022-03-13,0.0,213641.0,0.0,1094.0,2106.0,22.0,1105.0,9.0,157.85714285714286,1.2857142857142858
Alberta,Central,2022-03-07,184.0,53361.0,5.0,503.0,1290.0,25.0,483.0,11.0,69.0,1.5714285714285714
Alberta,Central,2022-03-08,63.0,53424.0,2.0,505.0,1353.0,27.0,546.0,13.0,78.0,1.8571428571428572
Alberta,Central,2022-03-09,84.0,53508.0,1.0,506.0,1057.0,18.0,485.0,11.0,69.28571428571429,1.5714285714285714
Alberta,Central,2022-03-10,71.0,53579.0,1.0,507.0,1014.0,18.0,473.0,12.0,67.57142857142857,1.7142857142857142
Alberta,Central,2022-03-11,71.0,53650.0,1.0,508.0,989.0,18.0,473.0,10.0,67.57142857142857,1.4285714285714286
Alberta,Central,2022-03-12,0.0,53650.0,0.0,508.0,989.0,18.0,473.0,10.0,67.57142857142857,1.4285714285714286
Alberta,Central,2022-03-13,0.0,53650.0,0.0,508.0,989.0,18.0,473.0,10.0,67.57142857142857,1.4285714285714286
Alberta,Edmonton,2022-03-07,340.0,168972.0,4.0,1556.0,2595.0,48.0,888.0,21.0,126.85714285714286,3.0
Alberta,Edmonton,2022-03-08,172.0,169144.0,2.0,1558.0,2767.0,50.0,1060.0,23.0,151.42857142857142,3.2857142857142856
Alberta,Edmonton,2022-03-09,253.0,169397.0,2.0,1560.0,2101.0,35.0,1097.0,15.0,156.71428571428572,2.142857142857143
