HR_UID,confirmed_positive,participants,weekof
471,data_suppressed,data_suppressed
472,2,37,2022-02-13
473,1,35,2022-02-13
474,5,175,2022-02-13
475,4,136,2022-02-13
476,6,45,2022-02-13
591,10,406,2022-02-13
592,6,182,2022-02-13
593,18,392,2022-02-13
594,4,47,2022-02-13
595,22,544,2022-02-13
1011,2,132,2022-02-13
1012,1,6,2022-02-13
1013,0,12,2022-02-13
1014,data_suppressed,data_suppressed,2022-02-13
1100,1,61,2022-02-13
1201,1,65,2022-02-13
1202,0,47,2022-02-13
1203,2,39,2022-02-13
1204,6,282,2022-02-13
1301,5,79,2022-02-13
1302,1,54,2022-02-13
1303,1,70,2022-02-13
1304,data_suppressed,data_suppressed,2022-02-13
1305,0,5,2022-02-13
1306,0,13,2022-02-13
1307,data_suppressed,data_suppressed,2022-02-13
2401,0,15,2022-02-13
2402,0,25,2022-02-13
2403,4,178,2022-02-13
2404,1,55,2022-02-13
2405,2,89,2022-02-13
2406,12,492,2022-02-13
2407,9,329,2022-02-13
2408,0,6,2022-02-13
2409,data_suppressed,data_suppressed,2022-02-13
2410,data_suppressed,data_suppressed,2022-02-13
2411,0,7,2022-02-13
2412,0,58,2022-02-13
2413,1,72,2022-02-13
2414,0,58,2022-02-13
2415,1,120,2022-02-13
2416,11,313,2022-02-13
2417,data_suppressed,data_suppressed,2022-02-13
2418,data_suppressed,data_suppressed,2022-02-13
3526,0,27,2022-02-13
3527,1,26,2022-02-13
3530,3,173,2022-02-13
3533,2,46,2022-02-13
3534,1,22,2022-02-13
3535,4,60,2022-02-13
3536,2,203,2022-02-13
3537,2,198,2022-02-13
3538,0,44,2022-02-13
3539,0,17,2022-02-13
3540,0,19,2022-02-13
3541,1,101,2022-02-13
3542,0,27,2022-02-13
3543,3,150,2022-02-13
3544,3,164,2022-02-13
3546,3,119,2022-02-13
3547,0,55,2022-02-13
3549,0,13,2022-02-13
3551,57,2086,2022-02-13
3553,2,246,2022-02-13
3554,0,36,2022-02-13
3555,1,49,2022-02-13
3556,1,8,2022-02-13
3557,1,40,2022-02-13
3558,3,104,2022-02-13
3560,1,133,2022-02-13
3561,1,32,2022-02-13
3562,2,37,2022-02-13
3563,0,6,2022-02-13
3565,4,200,2022-02-13
3566,7,157,2022-02-13
3568,1,48,2022-02-13
3570,3,231,2022-02-13
3575,2,33,2022-02-13
3595,18,908,2022-02-13
4601,13,456,2022-02-13
4602,0,23,2022-02-13
4603,2,45,2022-02-13
4604,data_suppressed,data_suppressed,2022-02-13
4605,4,47,2022-02-13
4831,4,55,2022-02-13
4832,15,356,2022-02-13
4833,1,36,2022-02-13
4834,10,331,2022-02-13
4835,2,42,2022-02-13
6001,0,15,2022-02-13
6101,1,24,2022-02-13
6201,data_suppressed,data_suppressed,2022-02-13
1,324,12006,2022-02-13
