CGNDB_ID,HR_UID
AAAAR,1012
AAABS,1011
AAADK,1014
AAAFY,1011
AAAGM,1011
AAAHY,1012
AAAIH,1011
AAAKM,1012
AAAMM,1012
AAAQY,1013
AAATE,1014
AAAUP,1012
AAAWK,1013
AAAYB,1011
AAAYG,1011
AAAZE,1013
AABCX,1011
AABDA,1012
AABGS,1011
AABIG,1013
AABIK,1012
AABLH,1014
AABTS,1012
AABTV,1011
AABUE,1013
AABUX,1014
AABVH,1011
AABVJ,1011
AABVP,1012
AABWZ,1013
AABXA,1301
AACDG,1014
AACDL,1011
AACEN,1011
AACFU,1014
AACKH,2410
AACLK,1013
AACMK,1012
AACNM,1012
AACNT,1012
AACOA,1011
AACOM,1011
AACRQ,1012
AACRZ,1012
AACSN,1014
AACSR,1012
AACTA,1011
AACTF,1011
AACTW,1011
AACTY,1011
AACUZ,1011
AACVW,1012
AACVY,1011
AACWB,1011
AACXL,1012
AACXR,1011
AACYQ,1011
AACYY,1012
AADAM,1012
AADBQ,1011
AADBW,1013
AADCE,1011
AADCG,1011
AADCQ,1012
AADDD,1012
AADFL,1011
AADGM,1014
AADIL,1011
AADKW,1011
AADLP,1013
AADLR,1012
AADNA,1011
AADOD,1011
AADPF,1012
AADQK,1014
AADRO,1011
AADSR,1011
AADTF,1012
AADUB,1011
AADUK,1011
AADUM,1011
AADVB,1012
AADVG,1013
AADVM,1011
AADXA,1011
AADZL,1014
AAEBC,1011
AAEBH,1011
AAEBK,1012
AAEDX,1012
AAEFQ,1013
AAEGN,1013
AAEHC,1011
AAEIN,1011
AAEIU,1012
AAEJD,1011
AAEJG,2409
AAEJM,1013
AAEMC,3555
AAEOL,1013
AAEOU,1013
AAEPT,1012
AAERC,1013
AAESB,1013
AAETV,1011
AAFAD,1011
AAFBA,1011
AAFDB,1013
AAFDD,1011
AAFFP,1012
AAFGH,1012
AAFHH,1012
AAFHK,1011
AAFKA,1013
AAFKY,1013
AAFMU,1013
AAGBU,1011
AAGCI,1011
AAGCP,1012
AAGIW,1012
AAGKG,1014
AAGKJ,1013
AAGLS,1011
AAGLV,1011
AAGMH,1012
AAGMV,1014
AAGNB,1011
AAGNE,1011
AAGNH,1012
AAGNM,1014
AAGOI,1011
AAGQK,1011
AAGUG,1011
AAHAR,1013
AAHDA,1012
AAHDU,2405
AAHEG,1012
AAHFY,1014
AAHGF,1011
AAHIF,1011
AAHJA,1011
AAHKJ,1013
AAHLM,1013
AAHLO,1011
AAHLW,1013
AAHMO,1012
AAHSV,1012
AAHSX,1012
AAHTO,1011
AAHTY,1013
AAHUF,2407
AAHUZ,1012
AAHYE,1013
AAHZP,1013
AAHZV,1012
AAIAF,1012
AAIAG,1012
AAICA,1011
AAIDB,1011
AAIEJ,2414
AAIGT,1011
AAIHR,1011
AAIHX,1013
AAIIA,1011
AAIIC,1013
AAIJH,1013
AAILI,1011
AAIMN,1011
AAIMS,1014
AAINI,1013
AAITY,1014
AAITZ,1014
AAIVT,1011
