CGNDB_ID,HR_UID
BAAHE,1100
BAAHG,1100
BAAHM,1100
BAAHR,1100
BAAID,1100
BAAIL,1100
BAAJF,1100
BAAJJ,1100
BAAJX,1100
BAAKY,1100
BAAKZ,1100
BAALG,1100
BAALI,1100
BAALL,1100
BAALY,1100
BAAMF,1100
BAAMH,1100
BAAMP,1100
BAAMS,1100
BAAND,1100
BAANG,1100
BAANJ,1100
BAANM,1100
BAAOB,1100
BAAOD,1100
BAAOH,1100
BAAOK,1100
BAAOT,1100
BAAOZ,1100
BAAPH,1100
BAAPL,1100
BAAPO,1100
BAAPQ,1100
BAAQT,1100
BAAQX,1100
BAARG,1100
BAARL,1100
BAATB,1100
BAATS,1100
BAAUA,1100
BAAUT,1100
BAAVY,1100
BAAWA,1100
BAAXN,1100
BAAXO,1100
BAAXZ,1100
BAAYP,1100
BAAZD,1100
BAAZK,1100
BAAZZ,1100
BABAA,1100
BABAG,1100
BABAU,1100
BABBD,1100
BABBI,1100
BABBJ,1100
BABBL,1100
BABBU,1100
BABCB,1100
BABCD,1100
BABCZ,1100
BABDH,1100
BABEH,1100
BABEK,1100
BABET,1100
BABFU,1100
BABFZ,1100
BABGE,1100
BABGF,1100
BABHL,1100
BABHM,1100
BABIR,1100
BABIS,1100
BABIW,1100
BABKL,1100
BABKV,1100
BABKW,1100
BABLF,1100
BABLY,1100
BABMQ,1100
BABNB,1100
BABND,1100
BABNH,1100
BABNM,1100
BABOS,1100
BABOV,1100
BABPE,1100
BABPL,1100
BABPT,1100
BABQO,1100
BABQT,1100
BABQX,1100
BABSP,1100
BABSS,1100
BABTD,1100
BABTL,1100
BABTP,1100
BABTY,1100
BABUP,1100
BABUS,1100
BABUW,1100
BABUY,1100
BABVG,1100
BABVI,1100
BABVP,1100
BABVW,1100
BABWE,1100
BABWJ,1100
BABWL,1100
BABWP,1100
BABWS,1100
BABWT,1100
BABWW,1100
BABXC,1100
BABXK,1100
BABXS,1100
BABYA,1100
BABYB,1100
BABYG,1100
BABYI,1100
BABYS,1100
BABYW,1100
BABZD,1100
BABZK,1100
BABZQ,1100
BACAB,1100
BACAK,1100
BACAT,1100
BACAV,1100
BACCF,1100
BACCO,1100
BACCS,1100
BACDW,1100
BACDY,1100
BACEF,1100
BACEK,1100
BACEM,1100
BACFW,1100
BACFZ,1100
BACGF,1100
BACGL,1100
BACGM,1100
BACGO,1100
BACIC,1100
BACII,1100
BACIL,1100
BACIZ,1100
BACJA,1100
BACJE,1100
BACJG,1100
BACJR,1100
BACJS,1100
BACJV,1100
BACKF,1100
BACKK,1100
BACKN,1100
BACKT,1100
BACKU,1100
BACKX,1100
BACLD,1100
BACLE,1100
BACLF,1100
BACLJ,1100
BACMK,1100
BACML,1100
BACMQ,1100
BACMS,1100
BACMW,1100
BACNM,1100
BACNQ,1100
BACNR,1100
BACNU,1100
BACNW,1100
BACOE,1100
BACOF,1100
BACOQ,1100
BACOS,1100
BACQC,1100
BACQM,1100
BACQS,1100
BACQU,1100
BACRA,1100
BACSK,1100
BACUP,1100
BACVS,1100
BADFQ,1100
BADGW,1100
BADJC,1100
BADKX,1100
BADLJ,1100
BADMD,1100
BADNO,1100
BADNX,1100
BADNZ,1100
BADOL,1100
BADOM,1100
BADOV,1100
BADOW,1100
BADPG,1100
BADPH,1100
BADPP,1100
BADPR,1100
BADPT,1100
BADPU,1100
BADQB,1100
BADQM,1100
BADQP,1100
BADQT,1100
BADRA,1100
BADRI,1100
BADRN,1100
BADRS,1100
BADRW,1100
BADSL,1100
BADSN,1100
BADST,1100
BADSZ,1100
BADTK,1100
BADWA,1100
BADWB,1100
BADWC,1100
BADWD,1100
BADWF,1100
BADWG,1100
BADWH,1100
BADWV,1100
BADWW,1100
BADWZ,1100
BADXB,1100
BADXC,1100
BADXI,1100
BADXP,1100
BADXR,1100
BADXS,1100
BAECG,1100
BAECL,1100
BAECM,1100
BAEDN,1100
BAEDP,1100
BAEDV,1100
BAEEA,1100
BAEFC,1100
BAEGJ,1100
BAEHD,1100
BAEHO,1100
BAEJK,1100
BAEJU,1100
BAEJX,1100
BAEKA,1100
BAEKC,1100
BAEKE,1100
BAEKF,1100
BAEKK,1100
BAEKY,1100
BAEMV,1100
BAETJ,1100
BAETN,1100
BAETW,1100
BAETZ,1100
BAEUA,1100
BAEUB,1100
BAEUD,1100
BAEUG,1100
BAEUJ,1100
BAEUL,1100
BAEUM,1100
BAEUN,1100
BAEUR,1100
BAEUU,1100
BAEUV,1100
BAEWU,1100
BAEXF,1100
BAEXZ,1100
BAEYN,1100
BAEYP,1100
BAEYQ,1100
BAEZA,1100
BBAGW,1100
