CGNDB_ID,HR_UID
CAAGN,1202
CAAIZ,1202
CAAKE,1201
CAAKF,1201
CAAKH,1203
CAAKZ,1203
CAALD,1201
CAAME,1201
CAANG,1202
CAANP,1202
CAAOO,1202
CAAOQ,1202
CAAOW,1202
CAAPC,1201
CAASF,1201
CAATB,1203
CAATQ,1202
CAAUE,1201
CAAVZ,1201
CAAWK,1203
CAAWP,1203
CAAYS,1204
CAAZM,1203
CAAZO,1203
CAAZZ,1202
CABAA,1204
CABAB,1202
CABAV,1201
CABBG,1203
CABBV,1202
CABCE,1201
CABCG,1201
CABCR,1201
CABFY,1203
CABFZ,1203
CABGB,1203
CABIR,1201
CABKP,1202
CABKW,1203
CABRW,1203
CABUB,1201
CABUD,1201
CABUT,1202
CABVH,1201
CABWP,1201
CABYG,1202
CABZI,1202
CABZK,1201
CABZQ,1204
CABZR,1203
CABZS,1201
CABZU,1201
CABZW,1201
CACAK,1201
CACFI,1201
CACHE,1202
CACKJ,1203
CACLB,1201
CACLW,1204
CACOS,1203
CACOX,1201
CACPA,1203
CACPB,1201
CACPO,1201
CACQO,1202
CACVC,1201
CACVF,1201
CACWS,1202
CACWW,1203
CACXG,1203
CACYQ,1203
CADCA,1203
CADEJ,1203
CADIB,1203
CADJW,1203
CADMX,1203
CADQX,1203
CADRN,1201
CAEAO,1204
CAEHK,1201
CAEIG,1201
CAEIT,1201
CAEKP,1202
CAELE,1201
CAELS,1203
CAETG,1203
CAETK,1203
CAEUL,1204
CAEWK,1203
CAEWL,1203
CAEYN,1203
CAEYQ,1201
CAEYW,1201
CAFAU,1201
CAFBN,1201
CAFBQ,1202
CAFBR,1201
CAFCB,1201
CAFDG,1201
CAFDZ,1203
CAFEZ,1202
CAFFA,1202
CAFFH,1201
CAFFI,1204
CAFFK,1201
CAFFT,1204
CAFJL,1202
CAFJN,1202
CAFJT,1202
CAFPS,1201
CAFSY,1204
CAGAB,1201
CAGAF,1201
CAGBD,1201
CAGBW,1203
CAGDC,1203
CAGDH,1203
CAGDX,1203
CAGEP,1201
CAGEV,1203
CAGFF,1203
CAGGA,1201
CAGGX,1202
CAGHT,1202
CAGIV,1202
CAGJD,1201
CAGJF,1201
CAGLP,1203
CAGPW,1201
CAGQA,1201
CAGQD,1201
CAGQJ,1202
CAGQK,1201
CAGQM,1202
CAGQN,1201
CAGQU,1201
CAGQY,1201
CAGQZ,1204
CAGRA,1202
CAGRF,1201
CAGRH,1201
CAGSV,1202
CAGUZ,1201
CAGWB,1203
CAGWS,1204
CAGXS,1201
CAGYD,1201
CAGYN,1201
CAGYP,1201
CAGYR,1201
CAGYX,1204
CAGZU,1202
CAHAQ,1201
CAHAU,1201
CAHBX,2412
CAHCF,1204
CAHEP,1201
CAHEX,1202
CAHGT,1201
CAHGU,1201
CAHGY,1203
CAHII,1201
CAHKT,1203
CAHMB,1201
CAHMP,1203
CAHOH,1202
CAHPU,1201
CAHQA,1201
CAHQF,1201
CAHSE,1204
CAHTP,1203
CAHWN,1201
CAHZE,1203
CAIAU,1204
CAIJX,1203
CAIKG,1203
CAIOM,1203
CAIPS,1201
CAIUV,1203
CAIVY,1201
CAIYE,1201
CAIYJ,1204
CAJBP,1201
CAJBR,1201
CAJDF,1204
CAJDP,1204
CAJDV,1202
CAJEE,1201
