CGNDB_ID,HR_UID
DAABC,1303
DAAGV,1301
DAAHV,1301
DAAJO,1301
DAALK,1301
DAAND,1301
DAANP,1301
DAAOF,1305
DAAPM,1301
DAATB,1301
DAAVS,1303
DAAXA,1306
DAAYV,1303
DAAZW,1305
DABAI,1306
DABBC,1306
DABBN,1305
DABBQ,1303
DABGS,2411
DABGX,1301
DABHT,1302
DABIY,1303
DABJN,1303
DABKX,1305
DABLD,1303
DABLH,1303
DABLJ,1303
DABLO,1303
DABLU,1302
DABMS,1307
DABNG,1307
DABNO,1306
DABNS,1302
DABOH,1303
DABOI,1306
DABOP,1307
DABOS,1303
DABOY,1303
DABPP,1307
DABPU,1302
DABPX,1303
DABQE,1302
DABQG,1302
DABQR,1302
DABQT,1303
DABQW,1306
DABRH,1303
DABRN,1306
DABTH,1303
DABTP,1301
DACAK,1302
DACBB,1303
DACCT,1306
DACCX,1301
DACCY,1306
DACDC,1307
DACFK,1306
DACFO,1306
DACFW,1301
DACHB,1304
DACHT,1306
DACHU,1301
DACIY,1305
DACJT,1301
DACMY,1307
DACND,1302
DACOF,1301
DACOY,1302
DACPC,1303
DACPG,1306
DACRR,1303
DACSJ,1303
DACTJ,1304
DACTL,1301
DACUC,1301
DACXH,1305
DACXQ,1306
DACYK,1303
DADAN,1301
DADAO,1302
DADBJ,1301
DADDZ,1307
DADEH,1306
DADEI,1306
DADES,1301
DADFP,1303
DADFS,1302
DADGM,1303
DADGX,1303
DADHI,1306
DADHJ,1301
DADJK,1301
DADKZ,1301
DADLF,1301
DADLI,1301
DADLK,1301
DADLL,1301
DADMB,1301
DADMH,1306
DADNA,1303
DADQA,1302
DADUN,1302
DADVA,1303
DADVI,1304
DADVK,1303
DADVO,1305
DADWA,1303
DADWR,1303
DADXI,1303
DADXK,1305
DADZD,1302
DAEAM,1301
DAEBC,1302
DAEBJ,1301
DAEBL,1301
DAEBO,1305
DAEBU,1304
DAECC,1301
DAECR,1306
DAECU,1301
DAECV,1306
DAECX,1306
DAEDA,1301
DAEDD,1301
DAEDE,1306
DAEDF,1306
DAEDP,1302
DAEDX,1301
DAEEA,1306
DAEED,1305
DAEEH,1302
DAEEK,1302
DAEEO,1304
DAEEW,1306
DAEEY,1306
DAEEZ,1304
DAEFG,1307
DAEFK,1304
DAEFL,1302
DAEFO,1306
DAEFR,1305
DAEGB,1301
DAEGD,1301
DAEGF,1306
DAEGG,1304
DAEGT,1301
DAEGV,1307
DAEGW,1302
DAEOG,1304
DAEOV,1301
DAEQF,1303
DAEQG,1306
DAERG,1302
DAERW,1301
DAESC,1302
DAESE,1302
DAEUA,1303
DAEUQ,1306
DAEUU,1303
DAEWA,1302
DAEWP,1302
DAEXG,1301
DAEXV,1302
DAEZE,1302
DAFAU,1303
DAFBG,1306
DAFBR,1306
