CGNDB_ID,HR_UID
EAAAG,2408
EAAAM,2401
EAAFG,2417
EFGJT,2405
EFGVQ,2416
EFHGZ,2407
EFHQD,2402
EFHRB,2402
EFHXK,2408
EFHXY,2401
EFIFE,2408
EFIKX,2409
EFILE,2411
EFILH,2411
EFIZS,2412
EFJFK,2412
EFJFV,2415
EFJGU,2405
EFJLC,2416
EFJPZ,2401
EFJQO,2405
EFJUQ,2407
EFJWH,2405
EFJWP,2408
EFKDV,2405
EFKHC,2409
EFKHI,2416
EFKHW,2403
EFKIA,2401
EFKIL,2409
EFKJQ,2409
EFKJV,2409
EFKJW,2409
EFKSJ,2411
EFKXD,2415
EFLCA,2416
EFLEA,2403
EFLHI,2411
EFLRJ,2410
EFLYD,2403
EFMCM,2404
EFMFP,2405
EFMJO,2408
EFMNI,2405
EFMPR,2408
EFMQP,2402
EFMRT,2412
EFMRW,2416
EFNAF,2412
EFNEP,2414
EFNIB,2416
EFNID,2405
EFNMH,2401
EFNTA,2405
EFNZD,2416
EFNZP,2415
EFOEH,2407
EFORY,2411
EFOTQ,2407
EFPAH,2411
EFPAV,2405
EFPFH,2405
EFPIS,2405
EFPQD,2405
EFPRC,2411
EFPYI,2404
EFQJR,2405
EFQKH,2409
EFQNG,2412
EFQQC,2404
EFQQK,2415
EFQUJ,2411
EFQVS,2405
EFQYV,2411
EFRDX,2405
EFRED,2405
EFREX,2405
EFRXQ,2407
EFRZG,2405
EFSJW,2401
EFTDR,2416
EFTFD,2411
EFTHP,2405
EFTLK,2411
EFTLL,2403
EFTLR,2407
EFTLX,2411
EFTME,2411
EFTML,2411
EFTNM,2411
EFTOQ,2412
EFTOV,2411
EFTWK,2416
EFTXN,2411
EFTYF,2404
EFVBQ,2407
EFVCQ,2416
EFVSK,2402
EFVSL,2402
EFVTO,2408
EFVUQ,2408
EFVVH,2411
EFVVM,2411
EFVWZ,2410
EFWAW,2404
EFWBO,2414
EFWGM,2407
EFWGW,2405
EFWKS,2416
EFWLE,2403
EFWSM,2407
EFWSN,2401
EFWSS,2416
EFWXN,2409
EFXAC,2410
EFXAY,2407
EFXGW,2413
EFXLM,2409
EFXLP,2402
EFXLW,2403
EFXLX,2407
EFXMC,2415
EFXYD,2411
EFYDX,2407
EFYFA,2411
EFYGC,2403
EFYGN,2408
EFYIY,2411
EFYRR,2411
