CGNDB_ID,HR_UID
FAAAZ,3543
FAABC,3547
FAABE,3561
FAABG,3562
FAASG,3563
FAASQ,3530
FAATN,3526
FAATZ,3526
FABJW,3549
FABLV,3566
FABMK,3546
FABPE,3538
FABRZ,3544
FABVL,3526
FABXX,3547
FABYS,3544
FACAG,3530
FACCA,3561
FACEF,3560
FACFD,3547
FACFP,3535
FACHT,3558
FACIQ,3558
FACJN,3526
FACJQ,3543
FACJR,3557
FACJY,3557
FACNG,3533
FACNZ,3546
FACOG,3560
FACOY,3560
FACPP,3566
FACQF,3543
FACRE,3555
FACSB,3553
FACSO,3542
FACVA,3562
FACVF,3568
FACVO,3541
FACYB,3537
FADEE,3562
FADEK,3560
FADIF,3560
FADKL,3544
FADKS,3558
FADLK,3555
FADNY,3547
FADNZ,3541
FADOI,3541
FADPK,3566
FADPL,3566
FADPR,3542
FADRO,3533
FADRV,3562
FADTN,3557
FADTQ,3547
FADTS,3562
FADUJ,3560
FADVI,3566
FADWX,3530
FADXN,3536
FADZV,3543
FADZW,3560
FAEBC,3549
FAECJ,3556
FAECO,3546
FAECW,3539
FAEHH,3560
FAEIH,3558
FAEIT,3560
FAEIW,3541
FAEIY,3575
FAEKW,3543
FAENL,3570
FAEOC,3566
FAEOY,3560
FAEPE,3560
FAEPN,3549
FAEQQ,3535
FAEUL,3549
FAEUS,3538
FAEVH,3538
FAEWX,3566
FAFAK,3560
FAFFD,3560
FAFGE,3526
FAFHU,3557
FAFJI,3549
FAFMY,3575
FAFNM,3539
FAFOI,3560
FAFOT,3560
FAFPN,3560
FAFPQ,3557
FAFPW,3542
FAFQB,3575
FAFTL,3562
FAFUE,3563
FAFUY,3547
FAFYW,3549
FAGLI,3542
FAGNA,3530
FAGOC,3546
FAGPX,3526
FAGSD,3560
FAGUZ,3553
FAGVC,3539
FAGXD,3568
FAGXG,3563
FAGXP,3560
FAGZY,3551
FAHAW,3575
FAHBN,3566
FAHDD,3539
FAHEO,3561
FAHHS,3549
FAHHX,3533
FAHLU,3533
FAHLV,3558
FAHNE,3535
FAHQR,3566
FAHSM,3533
FAHSX,3560
FAHVD,3560
FAHWU,3563
FAIMG,3534
FAINE,3537
FAIPD,3561
FAIUR,3538
FAIVI,3544
FAJIT,3546
FAJRS,3530
FAJTH,3542
FAJVA,3543
FAJVK,3543
FAJXB,3540
FAJXL,3561
FAJYS,3526
FAJZY,3538
FAKAC,3565
FAKEO,3549
FAKGM,3539
FAKIA,3539
FAKJE,3547
FAKKZ,3558
FAKOP,3560
FAKQH,3534
FAKXN,3526
FAKXS,3558
FAKXY,3556
FALDS,3546
FALHM,3557
FALIC,3553
FALIF,3553
FALIO,3565
FALJI,3527
FALLG,3560
FALNO,3565
FALPQ,3555
FALRI,3535
FALRP,3542
FALTU,3547
FALVB,3539
FALWE,3536
FALWV,3530
FALXK,3547
FALYS,3530
FAMAF,3570
FAMDG,3575
FAMDP,3539
FAMEE,3526
FAMEP,3526
FAMFM,3561
FAMHV,3539
FAMIC,3544
FAMKJ,3555
FAMOW,3560
FAMVH,3549
FAMVM,3527
FAMWO,3530
FAMWV,3547
FAMXC,3555
FAMXK,3536
FAMZN,3557
FANEM,3535
FANNI,3534
FANNM,3547
FANPJ,3547
FANRA,3530
FANSC,3542
FANSJ,3546
FANSM,3557
FANUD,3534
FANUL,3553
FANVC,3549
FANVO,3547
FANWK,3556
FANXH,3535
FANXK,3565
FANXP,3541
FANYC,3546
FANYO,3535
FAOAX,3566
FAOAY,3542
FAOCK,3535
FAODU,3553
FAOED,3536
FAOEX,3546
FAOLO,3534
FAOMJ,3538
FAOMO,3530
FAOQD,3533
FAOQX,3561
FAORU,3562
FAOSK,3535
FAOSO,3543
FAOWJ,3543
FAOZE,3535
FAPAL,3551
FAPBB,3526
FAPCW,3557
FAPEH,3561
FAPHQ,3535
FAPLA,3568
FAPMZ,3553
FAPNM,3560
FAPOI,3536
FAPOM,3566
FAPOQ,3533
FAPPX,3539
FAPQB,3549
FAPQS,3566
FAPRY,3541
FAPSF,3560
FAPUG,3557
FAPZF,3540
FAQAH,3543
FAQBO,3563
FAQDA,3540
FAQDL,3533
FAQFO,3561
FAQFW,3553
FAQHQ,3533
FAQJN,3533
FAQKA,3558
FAQPM,3546
FAQPQ,3533
FAQQR,3547
FAQSG,3560
FAQVJ,3560
FAQVM,3558
FAQWE,3558
FAQWI,3561
FARAA,3544
FARBB,3530
FARBG,3558
FARDS,3533
FAREY,3533
FARGP,3543
FARIX,3547
FARLT,3549
FARPU,3566
FARQF,3549
FARQP,3539
FARRS,3562
FARTM,3541
FARUL,3565
FARUO,3543
FARWS,3557
FARXD,3535
FARXE,3535
FARXS,3549
FARXW,3556
FARZO,3541
FARZY,3538
FASBJ,3566
FASBL,3535
FASBX,3568
FASCR,3535
FASCV,3544
FASCX,3560
FASFW,3560
FASGS,3560
FASIN,3533
FASJW,3530
FASKI,3568
FASKJ,3557
FASNT,3565
FASPB,3561
FASPX,3566
FASQA,3556
FASQX,3560
FASRX,3538
FASSB,3551
FASVS,3546
FASVZ,3560
FASYS,3537
FASZF,3556
FATBN,3566
FATCB,3538
FATDA,3575
FATIF,3542
FATJX,3568
FATMW,3530
FATMZ,3534
FATNI,3542
FATNR,3560
FATPJ,3535
FATUB,3560
FATUM,3533
FATUN,3533
FAUCM,3539
FAUDG,3560
FAUDO,3535
FAUEU,3546
FAUGC,3566
FAUKZ,3562
FAUMJ,3565
FAUQQ,3549
FAUSA,3549
FAUSL,3533
FAUTJ,3558
FAUTT,3546
FAUWS,3575
FAUWY,3534
FAUXF,3560
FAUXU,3560
FAUZC,3558
FAVAO,3555
FAVDC,3557
FAVEG,3546
FAVFI,3558
FAVGL,3549
FAVLM,3539
FAVWG,3560
FAVYV,3560
FAWBK,3568
FAWEE,3549
FAWGM,3544
FAWHS,3538
FAWHZ,3543
FAWIT,3538
FAWJD,3541
FAWJK,3544
FAWLJ,3556
FAWLX,3547
FAWNN,3526
FAWNU,3533
FAWPK,3538
FAWSN,3547
FAWYT,3563
FAXIX,3535
FAXMJ,3563
FAXNF,3568
FAXNK,3542
FAXOE,3565
FAXOF,3575
FAXOH,3575
FAXOM,3539
FAXPT,3533
