CGNDB_ID,HR_UID
GAAMP,4603
GAANF,4602
GAANM,4603
GAAPG,4603
GAAPJ,4602
GAAPS,4605
GAAPV,4605
GAAQC,4605
GAAUM,4602
GAAVJ,4603
GAAYG,4603
GAAZA,4602
GAAZI,4603
GABAN,4605
GABAO,4603
GABBK,4602
GABCJ,4602
GABCU,4603
GABDK,4602
GABEF,4604
GABEO,4603
GABIA,4605
GABIG,4605
GABKL,4602
GABKR,4602
GABLM,4605
GABMJ,4604
GABNE,4602
GABOE,4603
GABQP,4605
GABSE,4602
GABTP,4602
GABYE,4605
GABYK,4603
GACDD,4602
GACDT,4602
GACDW,4602
GACEE,4605
GACEN,4602
GACFO,4603
GACFS,4602
GACHX,4602
GACID,4603
GACIF,4602
GACJF,4602
GACQS,4603
GACRS,4602
GACTU,4602
GACUK,4604
GACUU,4603
GACUW,4601
GACUX,4603
GACVN,4602
GACVX,4602
GACWJ,4603
GADDS,4605
GADDW,4605
GADEX,4602
GADFN,4602
GADKU,4602
GADMQ,4602
GADMZ,4602
GADOI,4603
GADOW,4603
GADQD,4603
GADRA,4603
GADRG,4604
GADSM,4602
GADUG,4605
GADUL,4605
GAEDA,4603
GAEDZ,4605
GAEFY,4603
GAEGB,4602
GAEIX,4602
GAEJE,4602
GAEJG,4605
GAEKR,4605
GAEKX,4605
GAELL,4605
GAELV,4602
GAEMV,4602
GAEPB,4602
GAERY,4604
GAEUB,4602
GAEUD,4603
GAEYB,4604
GAEYU,4605
GAFAB,4601
GAFAV,4603
GAFBG,4602
GAFDF,4605
GAFDP,4604
GAFDW,4604
GAFFC,4603
GAFMY,4604
GAFOR,4602
GAFPB,4602
GAFPN,4602
GAFRM,4604
GAFRO,4602
GAFRX,4602
GAFUR,4602
GAFWK,4604
GAFYD,4605
GAFYV,4605
GAGAQ,4602
GAGAY,4605
GAGBQ,4603
GAGCB,4602
GAGCY,4605
GAGDE,4602
GAGDG,4602
GAGFB,4602
GAGJW,4602
GAGKB,4602
GAGKM,4605
GAGLE,4603
GAGTC,4605
GAGTE,4605
GAGUW,4602
GAGWM,4602
GAGYG,4602
GAGZH,4602
GAHAG,4605
GAHAI,4605
GAHAK,4603
GAHBZ,4603
GAHCD,4602
GAHCO,4602
GAHFY,4603
GAHHE,4604
GAHIV,4603
GAHKB,4602
GAHKR,4602
GAHKT,4602
GAHLQ,4602
GAHMD,4605
GAHPI,4602
GAHPL,4605
GAHPW,4602
GAHRB,4605
GAHSL,4602
GAHSS,4602
GAHTD,4605
GAHTG,4601
GAHUI,4602
GAHUP,4603
GAHVQ,4602
GAHXX,4602
GAHYD,4603
GAHYW,4605
GAHZY,4605
GAIAU,4603
GAIFF,4605
GAIGU,4603
GAIGX,4603
GAILW,4604
GAIOA,4602
GAIPH,4601
GAIPO,4605
GAITF,4602
GAITV,4602
GAIUM,4603
GAIVU,4605
GAIYZ,4604
GAIZE,4605
GAIZK,4602
GAJAC,4603
GAJER,4604
GAJFM,4603
GAJFT,4605
GAJGA,4605
GAJGK,4603
GAJGL,4602
GAJHA,4602
GAJHY,4602
GAJIM,4605
GAJIN,4605
GAJJE,4604
GAJJI,4604
GAJJM,4604
GAJLC,4602
GAJPH,4603
GAJPT,4603
GAJPV,4603
GAJQB,4605
GAJQK,4603
GAJQX,4604
GAJRE,4602
GAJSF,4604
GAJSX,4604
GAJUV,4605
GAJUX,4603
GAJVT,4605
GAJWD,4602
GAJWO,4602
GAJWV,4605
GAJXS,4602
GAJYF,4603
GAJYQ,4605
GAJZL,4603
GAKBI,4603
GAKCE,4603
GAKCQ,4605
GAKCV,4603
GAKER,4602
GAKIB,4602
GAKIO,4602
GAKKC,4602
GAKKP,4602
GAKLC,4603
GAKLF,4605
GAKOF,4605
GAKON,4603
GAKOR,4605
GAKPW,4603
GAKQQ,4605
GAKRN,4604
GAKTO,4605
GAKVI,4603
GAKWI,4603
GAKWP,4602
GAKXR,4603
GAKYD,4605
GAKYM,4603
GAKZU,4602
GALAL,4602
GALAV,4603
GALBD,4605
GALCS,4605
GALLT,4605
GALLV,4604
GALMJ,4605
GALNF,4602
GALNG,4602
GALOQ,4603
GALQP,4604
GAMCD,4604
GAMGB,4602
GAMLC,4605
GAMPT,4605
GAMUE,4604
GAMYX,4605
GANER,4602
GANEV,4602
GANGH,4602
GANGK,4602
GANIY,4605
GANNA,4602
GANNE,4604
GANNZ,4602
GANOF,4603
GANRC,4604
GANSA,4605
GANUH,4602
GANUN,4603
GANZG,4605
GANZH,4604
GANZL,4603
GANZT,4605
GAOAD,4603
GAOBI,4603
GAOBU,4603
GAODS,4605
GAOEE,4605
GAOFC,4605
GAOFZ,4605
GAOGM,4602
GAOGW,4602
GAOHQ,4602
GAOHR,4602
GAOIT,4604
GAOKD,4603
GAOLN,4602
GAOLT,4602
GAOLX,4602
GAOMX,4603
GAOMY,4605
GAONX,4603
GAOQK,4605
GAOVT,4603
GAPDW,4603
GAPKW,4603
GAPLE,4605
GAPNX,4605
GAPPO,4603
GAPPQ,4603
GAPQD,4602
GAPQM,4604
GAPRR,4605
GAPTY,4602
GAPVW,4602
GAPWT,4602
GAPXP,4602
GAPYF,4603
GAPZN,4603
GAPZY,4602
GAQDD,4605
GAQDP,4602
GAQEJ,4605
GAQKE,4604
GAQKL,4603
GAQKR,4603
GAQMD,4605
GAQNJ,4602
GAQOY,4602
GAQWF,4605
GAQWW,4602
GAQYB,4602
GAQZK,4603
GAQZN,4602
GARAW,4602
GARDJ,4605
GAREJ,4605
GARHS,4602
GARHU,4603
GARIX,4602
GARJY,4602
GARKU,4602
GARLQ,4602
GARQY,4605
GARTN,4603
GARWL,4602
GARXO,4603
GARXP,4603
GARYS,4604
GASAP,4604
GASBB,4605
GASCI,4605
GASDJ,4603
GASLL,4603
GASRN,4605
GASUJ,4602
GASUP,4603
GASYG,4602
GASYI,4602
GASZX,4604
GATAX,4602
GATBG,4603
GATBR,4605
GATBT,4605
GATCK,4605
GATCO,4602
GATDJ,4605
GATFO,4602
GATFQ,4602
GATGY,4605
