CGNDB_ID,HR_UID
HAAAG,472
HAABH,471
HAACS,473
HAAHO,471
HAAPA,471
HAAPI,472
HAAPJ,472
HAAPM,476
HAAPU,476
HAAQF,476
HAAQH,476
HAAQM,476
HAAQQ,476
HAAQT,476
HAAQV,476
HAAQX,476
HAARB,476
HAARE,474
HAARF,475
HAARI,474
HAARJ,476
HAASF,474
HAATE,472
HAATJ,471
HAATO,475
HAAUH,473
HAAVF,471
HAAXI,471
HABCM,472
HABFN,472
HABFQ,476
HABFT,472
HABHM,473
HABHY,476
HABIF,472
HABJF,476
HABJQ,476
HABKP,475
HABKQ,474
HABKU,472
HABLN,476
HABLS,474
HABMN,472
HABMO,474
HABMS,473
HABOB,474
HABOJ,476
HABPJ,475
HABQC,473
HABQG,473
HABQK,471
HABQM,473
HABQO,472
HABRA,476
HABRC,472
HABRI,476
HABRK,476
HABRQ,476
HABTN,476
HABTX,474
HABUC,472
HABVG,473
HABVK,473
HABWH,473
HABWL,476
HABWZ,472
HABXC,476
HABXD,476
HABXE,471
HABXF,475
HABYC,473
HABZQ,475
HABZV,471
HACAD,473
HACBK,473
HACDD,475
HACEN,476
HACEQ,475
HACGB,476
HACGE,476
HACGI,476
HACGP,476
HACHD,476
HACIU,472
HACJX,473
HACMR,476
HACMW,476
HACMX,472
HACNQ,473
HACOG,475
HACOL,472
HACOO,475
HACOP,472
HACPH,473
HACPI,475
HACRM,472
HACSS,472
HACTQ,474
HACTZ,472
HACUG,476
HACVP,472
HACXD,476
HACYJ,472
HACYQ,476
HACYX,472
HACZP,474
HADAZ,474
HADBB,476
HADBN,472
HADBW,472
HADCU,476
HADDY,473
HADED,475
HADEY,476
HADFG,472
HADFJ,475
HADFK,476
HADGA,475
HADGK,476
HADGQ,473
HADGR,475
HADGY,476
HADHK,476
HADHV,473
HADIN,472
HADIV,476
HADJB,476
HADJD,475
HADJH,476
HADJL,473
HADJN,473
HADKA,476
HADKH,473
HADLM,476
HADMF,475
HADMM,475
HADNL,475
HADNQ,473
HADOI,474
HADOV,472
HADPJ,475
HADPS,472
HADQG,471
HADQO,473
HADQP,476
HADRE,474
HADSC,473
HADTE,476
HADTO,476
HADTT,473
HADTZ,473
HADVS,476
HADWD,476
HADXD,476
HADYJ,472
HAEAE,473
HAEAV,472
HAEBJ,471
HAEBZ,473
HAECA,472
HAEDH,476
HAEDO,472
HAEDY,476
HAEEU,472
HAEFT,472
HAEFW,472
HAEHA,472
HAEHL,474
HAEHT,476
HAEIZ,472
HAEJB,472
HAEJL,476
HAEKX,472
HAELF,473
HAELX,471
HAEND,476
HAEOB,472
HAEPB,472
HAEPH,474
HAEPO,472
HAEQD,476
HAEQO,473
HAEQZ,473
HAERH,473
HAERP,472
HAESD,476
HAEVL,473
HAEWU,473
HAEXU,473
HAEXW,476
HAEZT,472
HAFAE,476
HAFAM,475
HAFBG,473
HAFDB,475
HAFDU,472
HAFFR,475
HAFFW,472
HAFGH,474
HAFGT,473
HAFGX,474
HAFHU,473
HAFHX,476
HAFIF,475
HAFIG,476
HAFIJ,474
HAFIW,476
HAFJC,473
HAFJK,476
HAFJM,476
HAFJO,474
HAFJT,473
HAFJY,471
HAFKI,472
HAFKP,474
HAFMJ,472
HAFNI,473
HAFNS,476
HAFNV,472
HAFOK,475
HAFPW,476
HAFUI,472
HAFUS,474
HAFVP,475
HAFVR,472
HAFXP,474
HAFXS,472
HAFXW,473
HAFYC,471
HAFYI,473
HAFZU,475
HAGAE,473
HAGAL,475
HAGBE,473
HAGBV,474
HAGCC,471
HAGCI,472
HAGCP,476
HAGCR,472
HAGEC,475
HAGEP,472
HAGET,475
HAGEU,474
HAGFA,475
HAGFF,476
HAGFY,476
HAGGC,476
HAGGV,475
HAGGW,476
HAGJJ,472
HAGJM,473
HAGJP,472
HAGKM,472
HAGMV,473
HAGMZ,476
HAGNK,476
HAGNY,472
HAGOI,475
HAGPA,474
HAGQA,471
HAGQN,472
HAGRT,476
HAGRX,472
HAGRY,472
HAGSH,471
HAGSI,475
HAGSU,472
HAGSX,476
HAGTA,475
HAGTO,475
