CGNDB_ID,HR_UID
IAAAO,4831
IAAAW,4835
IAABA,4831
IAABC,4831
IAACC,4835
IAACI,4835
IAACJ,4831
IAADH,4833
IAADI,4832
IAADM,4831
IAADU,4831
IAADW,4833
IAAEB,4835
IAAEP,4833
IAAEV,4834
IAAEX,4835
IAAEZ,4835
IAAFH,4835
IAAFM,4831
IAALR,4835
IAAML,4835
IAAOO,4833
IAAPO,4831
IAAPS,4835
IAAQB,4835
IAAQW,4835
IAASG,4835
IAAST,4835
IAASX,4834
IAATC,4835
IAATE,4834
IAAUW,4833
IABBD,4834
IABBE,4835
IABBJ,4833
IABBL,4832
IABBP,4831
IABBV,4833
IABCB,4833
IABDK,4835
IABDM,4833
IABEF,4833
IABEP,4833
IABER,4835
IABEX,4832
IABFN,4833
IABFR,4833
IABGK,4833
IABHC,4833
IABHO,4835
IABHQ,4833
IABIY,4835
IABJB,4831
IABJL,4835
IABJM,4833
IABJW,4831
IABJX,4831
IABKK,4833
IABLJ,4833
IABLL,4832
IABMA,4832
IABMD,4833
IABMK,4835
IABMX,4831
IABOA,4833
IABOH,4835
IABPA,4833
IABPV,4831
IABQB,4834
IABQG,4833
IABSI,4835
IABSM,4833
IABSQ,4835
IABTE,4833
IABUQ,4835
IABUV,4835
IABVU,4835
IABWU,4835
IABWZ,4834
IABXA,4831
IABXM,4831
IABXQ,4831
IABXV,4833
IABYG,4833
IACAL,4833
IACAS,4831
IACBC,4832
IACBJ,4833
IACBO,4835
IACDB,4833
IACDP,4835
IACDQ,4835
IACEK,4833
IACEN,4833
IACET,4833
IACFG,4835
IACFT,4832
IACGF,4834
IACGW,4833
IACHD,4834
IACHM,4832
IACIA,4835
IACIM,4832
IACIO,4833
IACIP,4835
IACIQ,4834
IACIS,4833
IACIW,4832
IACIY,4833
IACJI,4832
IACJU,4835
IACJX,4833
IACKT,4835
IACLC,4835
IACMP,4834
IACMW,4835
IACOD,4835
IACON,4831
IACOR,4835
IACOW,4831
IACPC,4835
IACPI,4835
IACPJ,4833
IACPU,4835
IACQD,4831
IACQG,4831
IACQH,4833
IACQO,4834
IACQR,4835
IACQS,4832
IACQT,4833
IACQV,4835
IACQY,4834
IACTI,4833
IACTN,4833
IACTV,4833
IACUD,4831
IACUJ,4834
IACUO,4833
IACUY,4834
IACUZ,4831
IACVC,4832
IACVW,4833
IACYE,4832
IACYS,4833
IADAA,4831
IADAB,4831
IADAH,4833
IADBE,4831
IADBR,4834
IADCQ,4832
IADDA,4833
IADDJ,4835
IADDT,4835
IADEF,4834
IADEU,4835
IADEW,4835
IADFB,4833
IADGP,4831
IADII,4835
IADIK,4833
IADJM,4835
IADJQ,4832
IADKH,4833
IADKL,4833
IADKX,4835
IADLO,4833
IADLQ,4831
IADNC,4835
IADPE,4832
IADQF,4833
IADQY,4831
IADRR,4835
IADRV,4835
IADSA,4832
IADSC,4835
IADUJ,4835
IADVK,4833
IADWH,4833
IADWR,4832
IADXC,4835
IADXV,4835
IADZF,4834
IADZM,4833
IAEAM,4835
IAEAU,4835
IAEAW,4831
IAEBY,4835
IAECC,4832
IAECM,4831
IAECP,4835
IAECX,4835
IAEDD,4835
IAEDU,4833
IAEEF,4833
IAEEO,4835
IAEER,4833
IAEFA,4835
IAEFD,4835
IAEFT,4835
IAEGE,4835
IAEGI,4831
IAEGQ,4831
IAEHK,4833
IAEIX,4831
IAEJQ,4831
IAEJS,4833
IAEJZ,4835
IAEKG,4832
IAEKV,4835
IAEKX,4833
IAEMA,4835
IAENC,4833
IAENE,4835
IAENJ,4835
IAEOA,4835
IAEOJ,4835
IAEPB,4835
IAEPI,4833
IAEPM,4833
IAEQM,4831
IAERM,4835
IAERZ,4835
IAESR,4835
IAETD,4835
IAETG,4831
IAETM,4835
IAETT,4835
IAETY,4832
IAEUN,4835
IAEWG,4835
IAEWL,4835
IAEXJ,4835
IAEXR,4835
IAEYK,4833
IAEZL,4835
IAEZQ,4835
IAFAS,4835
IAFBA,4835
IAFBQ,4833
IAFBY,4832
IAFCV,4835
IAFDT,4833
IAFDZ,4831
IAFEA,4833
IAFEQ,4833
IAFEU,4835
IAFEW,4835
IAFFD,4835
IAFFF,4835
IAFFG,4831
IAFFI,4835
IAFFM,4834
IAFFY,4835
IAFHC,4835
IAFHH,4835
IAFHL,4834
IAFHV,4831
IAFIA,4833
IAFIO,4833
IAFJI,4833
IAFJZ,4831
IAFKT,4832
IAFNC,4832
IAFNF,4835
IAFNG,4833
IAFNH,4833
IAFOD,4832
IAFOF,4835
IAFOG,4833
IAFOM,4833
IAFOY,4831
IAFPC,4834
IAFPT,4833
IAFPV,4832
IAFQG,4833
IAFQP,4833
IAFQQ,4831
IAFRM,4835
IAFRZ,4833
IAFSM,4833
IAFTN,4833
IAFWH,4833
IAFWP,4834
IAFWR,4833
IAFXM,4835
IAFXO,4833
IAFYV,4831
IAFZR,4832
IAGAQ,4835
IAGBE,4833
IAGBF,4835
IAGDF,4831
IAGDH,4833
IAGDM,4831
IAGDU,4833
IAGEW,4835
IAGFH,4832
IAGFN,4833
IAGFP,4833
IAGGJ,4835
IAGGK,4833
IAGGP,4835
IAGHN,4834
IAGHV,4835
IAGIA,4835
IAGIH,4833
IAGIL,4835
IAGKR,4835
IAGKT,4835
IAGLE,4835
IAGMF,4835
IAGMU,4835
IAGMY,4835
IAGNR,4832
IAGNY,4835
IAGOA,4835
IAGOI,4835
IAGOS,4831
IAGQE,4834
IAGQX,4835
IAGRK,4833
IAGRW,4831
IAGSE,4831
IAGSK,4832
IAGSX,4835
IAGTK,4833
IAGUD,4835
IAGUF,4833
IAGUK,4831
IAGVB,4835
IAGVI,4835
IAGVR,4833
IAGVS,4835
IAGXN,4832
IAGYD,4831
IAGZG,4835
IAGZU,4835
IAGZZ,4835
IAHAD,4833
IAHAL,4833
IAHAN,4833
IAHBA,4835
IAHBE,4835
IAHBP,4835
IAHBV,4835
IAHCJ,4833
IAHCM,4832
IAHDR,4833
IAHFW,4831
IAHFY,4833
IAHGK,4831
IAHGP,4833
IAHHQ,4831
IAHHS,4833
IAHHT,4834
IAHIY,4831
IAHJF,4835
IAHJM,4835
IAHKJ,4831
IAHLD,4835
IAHMD,4835
IAHMM,4835
IAHMX,4833
IAHND,4831
IAHNI,4831
IAHNQ,4835
IAHNX,4831
IAHPJ,4835
IAHQG,4835
IAHQY,4835
IAHRU,4835
IAHRV,4835
IAHRY,4835
IAHSC,4833
IAHSK,4835
IAHSS,4835
IAHSV,4833
IAHTE,4833
IAHVB,4835
IAHXV,4833
IAHYE,4835
IAHYT,4831
IAHZP,4835
IAIAB,4832
IAIAL,4832
IAIAS,4833
IAIAU,4833
IAIBP,4833
IAICB,4835
IAIDD,4831
IAIDN,4831
IAIEI,4832
IAIEV,4834
IAIFR,4832
IAIFY,4831
IAIGV,4833
IAIGX,4833
IAIHI,4835
IAIJA,4831
IAIJK,4835
IAIKM,4835
IAILN,4833
IAIMF,4833
IAINF,4833
IAINQ,4835
IAINT,4833
IAIPF,4831
IAIPO,4832
IAIQU,4835
IAIRB,4835
IAIRG,4835
IAIRL,4833
IAIRN,4833
IAIRQ,4831
IAIRT,4833
IAIRY,4831
IAISL,4835
IAISR,4831
IAISW,4831
IAITX,4835
IAIUC,4831
IAIUN,4835
IAIUS,4833
IAIWL,4833
IAIWZ,4833
IAIXO,4833
IAIYW,4832
IAJAV,4832
IAJAZ,4832
IAJDZ,4835
IAJED,4835
IAJHJ,4833
IAJHM,4835
IAJHO,4833
IAJHT,4833
IAJHU,4835
IAJHY,4835
IAJIW,4833
IAJJF,4831
IAJJN,4835
IAJKD,4834
IAJLB,4833
IAJLJ,4831
IAJLQ,4831
IAJMJ,4833
IAJMT,4835
IAJND,4835
IAJSF,4835
IAJSH,4833
IAJSX,4831
IAJSZ,4833
IAJUC,4832
IAJUD,4833
IAJVJ,4835
IAJVM,4835
IAJVO,4832
IAJVZ,4831
IAJWD,4831
IAJWI,4833
IAJWJ,4835
IAJWM,4831
IAJWS,4835
IAJWU,4835
IAJXO,4833
IAJYL,4835
IAJYZ,4835
IAJZB,4835
IAJZQ,4831
IAJZW,4832
IAKAM,4833
IAKAP,4831
IAKAX,4832
IAKBB,4833
IAKBY,4835
IAKCH,4833
IAKEQ,4833
IAKEU,4831
IAKEY,4833
IAKFY,4833
IAKGJ,4835
IAKGK,4831
IAKGZ,4833
IAKHA,4835
IAKHD,4835
IAKHQ,4834
IAKID,4832
IAKIF,4835
IAKIL,4834
IAKIT,4833
IAKKC,4835
IAKKF,4833
IAKKZ,4835
IAKLM,4831
IAKLS,4834
IAKMA,4834
IAKML,4831
IAKOG,4835
IAKOY,4835
IAKPR,4835
IAKPW,4833
IAKQL,4831
IAKRM,4834
IAKRU,4833
IAKSA,4835
IAKSP,4832
IAKTN,4832
IAKTV,4835
IAKUR,4833
IAKYO,4833
IAKZP,4832
IAKZV,4833
IAKZW,4835
IAKZY,4835
IALAE,4833
IALAF,4831
IALAL,4835
IALAQ,4835
IALBH,4832
IALBX,4833
IALBY,4833
IALCI,4832
IALCU,4835
IALDQ,4833
IALFC,4835
IALFH,4835
IALGC,4835
IALHB,4835
IALHH,4835
IALHY,4834
IALIB,4832
IALIF,4833
IALIG,4833
IALJB,4832
IALJQ,4831
IALKM,4835
IALKP,4832
