CGNDB_ID,HR_UID
JAACM,594
JAAEX,593
JAAHP,592
JAAHU,593
JAAJO,595
JAAKV,591
JAAQV,594
JAARI,592
JAASU,594
JAATV,592
JAATZ,592
JAAVK,591
JAAXM,594
JAAZU,592
JABAO,595
JABCE,592
JABGD,594
JABKF,593
JABKY,593
JABLO,594
JABMH,591
JABNP,593
JABNT,592
JABOC,595
JABPK,593
JABQB,592
JABQV,593
JABUM,592
JABWR,594
JABYO,594
JABZI,595
JACBO,592
JACDD,592
JACDF,592
JACEV,592
JACFE,591
JACJU,594
JACKE,593
JACPY,594
JACQW,593
JACRH,592
JACSA,592
JACTY,594
JACWB,595
JACYP,592
JADBJ,594
JADDZ,593
JADGB,592
JADGC,592
JADHP,592
JADIH,592
JADJB,592
JADLE,592
JADNJ,591
JADPU,592
JADSQ,592
JADST,592
JADTF,592
JADTK,594
JADVI,592
JADXC,594
JADYE,595
JADYZ,592
JAEBN,591
JAECH,594
JAEDB,592
JAEEN,595
JAEFE,593
JAEKA,594
JAELO,592
JAEMO,594
JAEPQ,593
JAEPT,593
JAEQV,594
JAESS,594
JAEVY,592
JAEZN,592
JAEZV,594
JAFAO,592
JAFBB,594
JAFBD,594
JAFBR,594
JAFCY,592
JAFED,594
JAFEU,593
JAFFP,592
JAFGM,592
JAFHA,591
JAFHL,593
JAFMN,593
JAFNC,592
JAFNF,592
JAFNW,592
JAFOE,592
JAFPO,592
JAFSP,592
JAFUQ,594
JAFUV,592
JAFVI,594
JAFYB,592
JAFZG,594
JAGDA,595
JAGDP,593
JAGFE,594
JAGGY,592
JAGID,592
JAGIF,593
JAGJE,593
JAGKJ,592
JAGKK,594
JAGKW,592
JAGMU,594
JAGOH,594
JAGOL,591
JAGOX,594
JAGOZ,592
JAGPB,594
JAGVE,594
JAGWY,591
JAGXK,592
JAGXL,592
JAGXW,594
JAGYL,592
JAGZZ,592
JAHAJ,594
JAHBL,592
JAHBY,594
JAHDG,593
JAHES,592
JAHIA,594
JAHIT,594
JAHJY,593
JAHKZ,593
JAHLF,593
JAHVB,593
JAHWQ,593
JAHZX,593
JAIAC,593
JAICV,592
JAIDY,593
JAIEP,595
JAIFB,593
JAIFP,592
JAIFT,592
JAIGK,592
JAIIB,594
JAIIF,594
JAIJE,594
JAIJR,593
JAIJU,595
JAIKI,593
JAIKM,592
JAILA,595
JAINK,592
JAIOO,594
JAIQY,592
JAIUE,594
JAIUJ,592
JAIVH,592
JAIXY,594
JAJAQ,593
JAJAU,593
JAJBT,592
JAJCX,594
JAJEP,592
JAJES,592
JAJIB,593
JAJJB,595
JAJJM,594
JAJKV,592
JAJND,593
JAJNY,595
JAJOU,595
JAJOZ,595
JAJYR,591
JAJYW,592
JAJZD,592
JAJZL,592
JAKBA,594
JAKCB,2412
JAKCE,592
JAKDN,592
JAKFJ,592
JAKGH,594
JAKHD,592
JAKJF,592
JAKJJ,2415
JAKKT,592
JAKLO,592
JAKNH,591
JAKNJ,591
JAKQV,592
JAKRL,592
JAKUE,592
JAKWK,594
JAKZL,595
JALAL,592
JALBB,594
JALBP,594
JALCM,592
JALDH,592
JALDJ,592
JALDW,593
JALES,592
JALET,592
JALGE,592
JALGL,594
JALLF,592
JALMQ,592
JALPN,591
JALPR,591
JALPV,593
JALXS,593
JALZE,592
JALZI,592
JAMBC,592
JAMES,594
JAMGA,591
JAMIM,594
JAMKO,594
JAMOB,592
JAMOE,592
JAMPS,592
JAMPY,592
JAMPZ,592
JAMQG,594
JAMQI,592
JAMTF,593
JAMWR,592
JAMXC,593
JAMZA,592
JAMZI,591
JAMZY,593
JANBJ,593
JANBP,591
JANGR,592
JANIO,595
JANME,595
JANMW,592
JANNO,593
JANQD,591
JANQJ,591
JANQQ,592
JANQS,592
JANSW,594
JANTA,592
JANUX,593
JANVR,594
JAOGY,593
JAOLI,594
JAONC,592
JAONH,595
JAONI,594
JAONN,593
JAONQ,594
JAONU,595
JAOOW,592
JAOOY,592
JAOPU,593
JAOQS,594
JAORV,594
JAORX,594
JAOVB,591
JAOVC,595
JAOVS,593
JAOWJ,594
JAPBM,595
JAPCA,591
JAPCN,594
JAPEH,594
JAPFA,594
JAPFY,594
JAPKE,594
JAPLI,593
JAPNZ,592
JAPOG,593
JAPPV,592
JAPRQ,595
JAPRU,595
JAPRZ,593
JAPSJ,591
JAPSY,593
JAPUB,592
JAPVF,593
JAPXW,595
JAPZS,592
JAPZU,595
JAQAL,593
JAQAY,592
JAQFK,594
JAQHN,592
JAQIY,592
JAQJV,594
JAQPG,592
JAQTF,593
JAQTG,592
JAQTU,592
JAQTX,592
JAQTY,592
JAQUJ,592
JAQVR,592
JAQZA,592
JARBT,592
JAREK,594
JARGC,593
JARHJ,591
JARHY,593
JARIW,592
JARKT,594
JARLL,594
JARNL,592
JAROB,594
JARSO,594
JARSS,592
JARSX,592
JARXT,592
JARYR,592
JASCX,591
JASEN,594
JASFT,592
JASGB,592
JASGT,593
JASHE,593
JASHM,594
JASJJ,592
JASOZ,592
JASRH,592
JASUR,592
JASUV,592
JASVH,593
JASWS,593
JASXG,593
JASXP,594
JATAL,594
JATEL,592
JATFF,592
JATGW,594
JATKH,593
JATPC,592
JATPY,592
JATQF,593
JATQH,593
JAUDG,593
JAUFR,592
JAUHE,592
JAUIY,593
JAUKY,592
JAULA,594
JAUND,592
JAUNE,592
JAUSD,592
JAUUX,592
JAUUZ,594
JAUVP,594
JAUXC,594
JAVBM,593
JAVDN,592
JAVDW,592
JAVDY,594
JAVEL,594
JAVFI,592
JAVGI,594
JAVHN,592
JAVIB,592
JAVII,591
JAVIU,591
JAVJH,591
JAVJO,592
JAVKM,593
JAVTK,592
JAVYO,593
JAVYZ,592
JAWBP,593
JAWCV,592
JAWDS,594
JAWEK,594
JAWHL,592
JAWKN,591
JAWKO,592
JAWKT,594
JAWME,594
JAWUI,592
JAWVA,594
JAWVY,595
JAXHI,591
JAXKW,592
JAXLZ,593
JAXME,593
JAXMI,593
JAXPR,594
JAXQJ,593
JAXQN,595
JAXQO,593
JAXQW,592
JAXTV,592
JAXVL,592
JAXWJ,594
JAXWO,594
JAXWR,592
JAXWS,592
JAYDR,592
JAYEL,1303
JAYHN,592
JAYHT,592
JAYIM,592
JAYKE,592
JAYKY,594
JAYLI,593
JAYLP,595
JAYLQ,595
JAYNT,592
JAYPA,593
JAYPP,592
JAYQP,595
JAYRE,591
JAYSL,3526
JAYTT,591
JAYVZ,592
JAYYY,592
JAYYZ,592
JAYZD,594
JAZAF,594
JAZAQ,591
JAZBE,593
JAZBU,591
JAZEW,594
JAZLS,594
JAZMR,591
JAZMY,592
JAZNM,592
JAZNW,592
JAZOS,591
JAZQZ,595
JAZVO,591
JAZVS,593
JAZVZ,593
JAZWI,591
JAZWO,593
JAZXV,593
JAZYI,591
JBAKY,592
JBALW,592
JBANC,594
JBANJ,594
JBAQN,592
JBAVS,594
JBAVV,594
JBBBZ,592
JBBCG,593
JBBCK,594
JBBHU,592
JBBIR,595
JBBJB,594
JBBJV,592
JBBSP,3561
JBBTF,592
JBBTH,592
JBBUV,592
JBBWA,593
JBBWT,595
JBBXT,593
JBBXW,594
JBBZI,591
JBBZY,592
JBCBJ,592
JBCCY,592
JBCEQ,593
JBCJC,592
JBCKX,591
JBCPW,592
JBCTT,592
JBCVD,591
JBCVF,593
JBCVI,593
JBCXE,595
JBCYQ,594
JBCZB,593
JBDBR,593
JBDCN,592
JBDCO,592
JBDCY,594
JBDDX,594
JBDGY,591
JBDHV,593
JBDIU,592
JBDJV,593
JBDKB,592
JBDQS,593
JBDVC,594
JBDWF,592
JBDXM,592
JBDYC,592
JBDYF,594
JBDZM,594
JBEAL,594
JBEHF,593
JBEHP,592
JBEKR,593
JBEKV,591
JBEOR,593
JBEPR,593
JBEQX,592
JBEWH,594
JBFCQ,592
JBFEJ,593
JBFGB,591
JBFHU,594
JBFKS,592
JBFLQ,592
JBFLT,594
JBFOI,595
JBFQD,591
JBFRV,595
JBFUC,594
JBFVL,593
JBFWX,595
JBFWY,593
JBFYQ,592
JBFZR,592
JBFZT,592
JBFZV,592
JBFZX,592
JBFZZ,592
JBGAM,595
JBGEA,593
JBGFG,595
JBGGN,595
JBGHH,594
JBGJZ,594
JBGKI,591
JBGLE,593
JBGLM,594
JBGMS,594
JBGNR,595
JBGPW,593
JBGRB,592
JBGRF,592
JBGTC,592
JBGUE,593
JBGWZ,594
JBGXB,593
JBGXP,594
JBGYL,594
JBHAK,594
JBHAZ,594
JBHBR,592
JBHCF,594
JBHCG,594
JBHCZ,592
JBHDU,592
JBHFG,592
JBHFH,592
JBHFI,592
JBHFM,594
JBHGE,592
JBHGX,593
JBHJG,592
JBHOM,592
JBHOR,594
JBHQP,594
JBHRL,594
JBHRP,592
JBHSV,592
JBHTI,592
JBHUR,592
JBHVQ,592
JBHYP,592
JBHYY,592
JBIAM,592
JBIDS,592
JBIDX,592
JBIEJ,594
JBIEL,593
JBIPH,592
JBIPO,592
JBIPQ,592
JBIPV,592
JBIQE,592
JBIQR,592
JBISB,592
JBIUM,594
JBIYA,593
JBIYC,593
JBJAN,591
JBJBN,592
JBJCT,593
JBJCZ,593
JBJDA,593
JBJFA,594
JBJFI,595
JBJHB,592
JBJIE,593
JBJKF,595
JBJKG,595
JBJKJ,593
JBJLQ,594
JBJLV,591
JBJMY,594
JBJRS,595
JBJSJ,594
JBJSO,592
JBJTF,594
JBJTX,592
JBJUH,592
JBJVV,593
JBJWE,594
JBJXU,593
JBJXV,592
JBJYE,595
JBJYF,595
JBKDT,592
JBKDZ,592
JBKEO,594
JBKES,593
JBKFO,594
JBKFY,592
JBKJI,594
JBKKG,591
JBKKH,592
JBKLH,591
JBKLO,591
JBKLY,592
JBKMN,592
JBKNP,594
JBKOD,594
JBKQN,592
JBKRA,594
JBKTP,592
JBKTZ,594
JBKWJ,594
JBKXS,592
JBKYB,594
JBKYL,593
JBKZV,592
JBLCP,592
JBLCT,592
JBLFO,592
JBLFW,594
JBLGB,591
JBLGR,592
JBLHI,593
JBLKI,594
JBLKJ,594
JBLKN,592
JBLLT,595
JBLMA,592
JBLOL,594
JBLRH,592
JBLRY,592
JBLVS,594
JBLWT,592
JBLXB,592
JBLXI,594
JBMAP,594
JBMFK,592
JBMHL,592
JBMIF,592
JBMIG,591
JBMIL,595
JBMLS,592
JBMMG,592
JBMNA,592
JBMPJ,592
JBMQO,594
JBMQP,594
JBMSI,594
JBMVP,592
JBMVR,592
JBMVZ,591
JBMWY,594
JBMXG,593
JBMYL,594
JBMYM,592
JBMZU,594
JBNBH,593
JBNDG,592
JBNDK,592
JBNEB,592
JBNHB,592
JBNIJ,593
JBNKY,595
JBNMK,593
JBNNH,595
JBNOZ,593
JBNQJ,592
JBNRD,594
JBNRE,594
JBNRF,594
JBNRV,592
JBNSD,592
JBNTS,594
JBNTU,592
JBNXQ,591
JBNXS,595
JBNYO,592
JBOAP,592
JBOBQ,593
JBODB,593
JBOFB,593
JBOGU,592
JBOHM,595
JBOHS,591
JBOIS,593
JBOOS,593
JBORP,592
JBOWI,593
JBPBN,592
JBPCD,594
JBPCG,594
JBPDQ,592
JBPFP,592
JBPGE,592
JBPHG,594
JBPIT,592
JBPNP,592
JBPOF,593
JBPPL,592
JBPRK,594
JBPRM,594
JBPTY,593
JBPXC,594
JBPZF,594
JBQAY,594
JBQHN,593
JBQLO,591
JBQRE,594
JBQTH,593
JBQTR,592
JBQWC,592
JBQWK,592
JBQXA,594
JBQZT,593
JBRGH,592
JBRGM,592
JBRIK,595
JBRKG,592
JBRKN,592
JBRKU,591
JBRML,592
JBRMW,593
JBRRC,594
JBRRH,593
JBRYZ,595
JBSAM,2414
JBSAT,594
JBSBY,592
JBSCD,592
JBSCN,592
JBSCP,592
JBSDC,592
JBSDG,592
JBSDJ,593
JBSDL,591
JBSEI,591
JBSEX,593
JBSHO,594
JBSLI,595
JBSMG,594
JBSPV,593
JBSQD,595
JBSRF,594
JBSUE,594
JBSWF,593
JBSWI,594
JBSXC,595
JBSXV,592
JBSXW,591
JBTAG,592
JBTBI,593
JBTCT,593
JBTDC,592
JBTDH,593
JBTEC,593
JBTGO,593
JBTMB,592
JBTNB,593
JBTPS,593
JBTPU,593
JBTUQ,594
JBTUU,593
JBTWG,592
JBTWV,593
JBTYH,593
JBTYJ,591
JBUAT,593
JBUBN,594
JBUCA,592
JBUDT,592
JBUFS,593
JBUMD,593
JBUOG,593
JBUPU,593
JBVKW,593
JBVPU,595
JBVWP,595
JBWDO,595
JBWFW,593
JBWHB,593
JBWKW,595
JBWMO,595
JBWMU,594
JBWNF,594
JBWNK,592
JBWNO,592
JBWOT,593
JBWOU,593
JBWPW,594
JBWQE,593
JBWQO,593
JBWWO,595
JBWXD,595
JBWYV,593
JBWYY,592
JBWZC,592
JBXCK,594
JBXCO,594
JBXGU,594
JBXHF,592
JBXHZ,591
JBXIF,594
JBXIH,592
JBXII,592
JBXIJ,592
JBXJN,592
JBXJO,592
JBXNP,592
JBXPS,592
JBXPX,592
JBXVJ,594
JBXYD,592
JBYJB,593
JBYPN,592
JBYQG,595
JBYUI,592
JBYWT,592
JBYXE,592
JBYZB,592
JBYZC,592
JBZAK,592
JBZCD,593
JBZDJ,592
JBZDL,592
JBZES,592
JBZEU,592
JBZEZ,591
JBZGZ,594
JBZJO,592
JBZLB,592
JBZOL,592
JBZPP,592
JBZTO,594
JBZUT,592
JBZXG,592
JBZXN,592
JBZXS,592
JBZYM,593
JBZYW,592
JBZZY,592
JCAAC,592
JCABN,592
JCABQ,592
JCABU,593
JCAES,593
JCAJU,592
JCAKH,592
JCAQU,592
JCAQX,592
JCARH,592
JCAUN,592
JCAVT,594
JCAWK,592
JCAZS,593
JCBEQ,594
JCBHQ,594
JCBJE,592
JCBLG,592
JCBMZ,592
JCBNC,592
JCBNJ,592
JCBNK,591
JCBPW,592
JCBSO,592
JCBUA,594
JCBWC,594
JCBZC,595
JCCAG,593
JCCHV,595
JCCIT,592
JCCIU,594
JCCIX,594
JCCMQ,592
JCCNX,592
JCCOR,594
JCCRF,592
JCCSY,593
JCCUJ,592
JCCUL,592
JCCUN,592
JCCXO,592
JCCYL,593
JCDAK,592
JCDBX,591
JCDCS,592
JCDNV,595
JCDOP,593
JCDOR,594
JCDPJ,594
JCDYU,592
JCEDY,592
JCEOJ,592
JCEOL,592
JCEON,592
JCEOP,592
JCFEN,593
JCFEO,592
JCFET,594
JCJBD,595
JCJBM,595
JCJCE,591
JCJCK,591
JCJCW,591
JCJDS,592
JCJEI,592
JCJEJ,595
JCJEL,593
JCJEM,593
JCJEN,593
JCJEV,593
JCJEZ,593
JCJFE,593
JCJFU,593
JCJFW,595
JCJGB,595
JCJHE,595
JCJJH,593
JCJKI,592
JCJLM,592
JCJLY,591
JCJMJ,595
JCJNB,595
JCJNG,593
JCJNZ,592
JCJRX,595
JCJSK,595
JCJSN,593
JCJST,595
JCJTL,592
JCJUI,592
JCJUR,593
JCJUT,593
JCJUV,593
JCJUY,593
JCJVB,593
JCJVN,593
JCJVS,593
JCJXK,595
JCJYN,592
JCKBG,593
JCKBZ,594
JCKDH,592
JCKGY,594
JCKMY,594
JCKPK,594
JCKRB,594
JCKRK,594
JCKSP,594
JCKUL,594
JCKZT,594
JCLAI,594
JCLCW,594
JCLIJ,594
JCLLT,592
JCLMR,595
JCLMX,593
JCLOQ,591
JCLPL,592
JCLPO,592
JCLQI,594
JCLSB,594
JCLSH,593
JCLSU,593
JCMDB,594
JCMFM,592
JCMFQ,592
JCMID,594
JCMMJ,594
JCMTJ,594
JCMVZ,594
JCMXQ,594
JCNDC,594
JCNHW,594
JCNON,594
JCNPC,594
JCNRX,594
JCNVS,594
JCNWD,594
JCNWW,594
JCNXE,594
JCOQV,594
JCOST,594
JCOTR,593
JCOTY,593
JCOYX,593
JCOZI,594
JCPAX,594
JCPCV,594
JCPGF,593
JCPGW,593
JCPHK,592
JCPHV,593
JCPJS,592
JCPJT,592
JCPJW,592
JCPJX,592
JCPMH,595
JCPML,594
JCPMN,592
JCPMQ,594
JCPMR,594
JCPMS,592
JCPMZ,592
JCPQB,594
JCPQJ,594
JCPQK,592
JCPQY,594
JCPRH,594
JCPRQ,592
JCPSA,592
JCPSE,594
JCPSI,594
JCPVO,594
JCPVR,595
JCPVV,593
JCPVY,595
JCPVZ,594
JCPWE,594
JCQBA,595
JCQPB,594
JCQPH,594
JCQWM,593
JCQXI,593
JCRAL,592
JCRAO,593
JCRHI,592
JCRIH,594
JCROA,593
JCROH,592
JCROR,592
JCRPY,591
JCRQD,593
JCRQL,594
JCRRX,591
JCRTD,593
JCRTM,594
JCRUA,593
JCRUL,595
JCRWX,592
JCRYH,592
JCRYI,593
JCRYK,592
JCRYL,592
JCRYM,591
JCRYN,592
JCRYR,592
JCSCZ,593
JCSDF,593
JCSDN,594
JCSDP,594
JCSGV,594
JCSHR,593
JCSNP,594
JCSNQ,592
JCSNS,594
JCSNX,591
JCSOA,592
JCSOP,592
JCSVI,591
JCTDC,595
JCTOL,592
JCTRO,594
JCTSU,595
JCTYJ,594
JCUIV,594
JCUJZ,594
JCULE,592
JCULL,592
JCULR,594
JCUVT,594
JCUYZ,593
JCUZS,595
JCVCA,593
JCVCB,591
JCVCD,592
JCVCF,592
JCVCH,592
JCVCI,595
JCVCJ,595
JCVCK,594
JCVXW,592
JCWAX,592
JCWLS,594
JCWZY,591
JCXBS,594
JCXEX,594
JCXEY,594
JCXFA,594
JCXFB,592
JCXFC,592
JCXFF,594
JCXLO,593
JCXLP,595
JCXLR,594
JCXLS,591
JCXLU,592
JCXLX,592
JCXLY,593
JCXMA,594
JCXMG,594
JCXSK,594
JCXSL,592
JCXSN,593
JCXSO,594
JCYGP,594
JCYGR,592
JDATM,592
JDATY,592
JDAUB,594
JDBFW,592
JDBGN,592
JDBGP,594
JDBLE,595
JDBMG,592
JDBQT,592
JDBQX,594
JDBSZ,595
JDBTP,593
JDBTS,593
JDBYC,594
JDBYD,594
JDBYE,591
JDBZO,592
JDBZU,591
JDCAF,594
JDCCM,592
JDCCN,593
JDCGL,592
JDCIE,594
JDCIL,592
JDCJH,595
JDCKU,595
JDCKV,593
JDCKZ,593
JDCLA,593
JDCLB,3539
JDCLH,593
JDCLI,592
JDCLK,592
JDCLM,592
JDCLO,592
JDCNB,592
JDCQZ,595
JDCTE,594
JDCTJ,593
JDCTK,595
JDCTM,595
JDCVC,594
JDCVH,594
JDCWP,594
JDCWV,594
JDCWX,594
JDCWZ,594
JDCXB,594
JDCYE,593
JDCYJ,592
JDCYU,594
JDCZM,595
JDDBR,592
JDDBY,595
JDDBZ,594
JDDCC,593
JDDIE,595
JDDIQ,594
JDDIS,593
JDEJZ,594
JDEKA,594
JDEKI,594
JDEKY,592
JDELW,594
JDEOT,593
JDEPJ,594
JDERP,592
JDESG,593
JDESR,594
JDETY,594
JDEUE,592
JDEUI,592
JDEUR,592
JDEXB,594
JDEYL,594
JDEYN,592
JDEYS,592
JDEYT,592
JDEYU,592
JDEYV,592
JDEZO,595
JDEZT,594
JDEZX,594
JDFAO,592
JDFBZ,591
JDFCB,592
JDFEV,592
JDFEY,592
JDFEZ,592
JDFFB,593
JDFFC,593
JDFFD,593
JDFFE,593
JDFFF,593
JDFFG,592
JDFFJ,592
JDFFM,592
JDFFO,592
JDFFP,592
JDFFQ,592
