CGNDB_ID,HR_UID
KAABD,6001
KAALD,6001
KAATK,6001
KAAUS,6001
KAAWS,6001
KAAZQ,6001
KAAZS,6001
KABAL,6001
KABAM,6001
KABBU,6001
KABDP,6001
KABHB,6001
KABJB,6001
KABLA,6001
KABLV,6001
KABNZ,6001
KABPC,6001
KABQL,6001
KABUR,6001
KABWA,6001
KABYO,6001
KACBC,6001
KACGA,6001
KACGF,6001
KACHL,6001
KACRQ,6001
KACVG,6001
KADDO,6001
KADFC,6001
KADHU,6001
KADKK,6001
KADKV,6001
KADPS,6001
KADSC,6001
KADSU,6001
KADSV,6001
KADTH,6001
KADZV,6001
KAEBA,6001
KAEBN,6001
KAEFD,6001
KAEHQ,6001
KAELA,6001
KAEPB,6001
KAEVF,6001
KAFAF,6001
KAFEL,6001
KAFHT,6001
KAFJH,6001
KAFJL,6001
KAFNA,6001
KAFNO,6001
KAFPB,6001
KAGBQ,6001
KAGBS,6001
KAGHD,6001
KAGHJ,6001
KAGIC,6001
KAGLF,6001
KAGME,6001
KAGMZ,6001
KAGPR,6001
KAGQJ,6001
KAGQM,6001
KAGWK,6001
KAGYZ,6001
KAGZA,6001
KAHDJ,6001
KAHFT,6001
KAHTY,6001
KAHXP,6001
KAIBF,6001
KAIBG,6001
KAIFM,6001
KAIFO,6001
KAIFY,6001
