CGNDB_ID,HR_UID
LAATD,6101
LAELN,6101
LAFGS,6101
LAGHN,6101
LAGKT,6101
LAHEU,6101
LAHNP,6101
LAIKL,6101
LAIKS,6101
LAIKT,6101
LAILA,6101
LAILE,6101
LAILM,6101
LAILN,6101
LAKGC,6101
LALNA,6101
LALYJ,6101
LAMGZ,6101
LAQCZ,6101
LAQJQ,6101
LARCU,6101
LASFJ,6101
LASRI,6101
LATRU,6101
LAUAZ,6101
LAUSB,6101
LAYQV,6101
LAYTB,6101
LBAKM,6101
LBAMG,6101
LBKQZ,6101
LBKRA,6101
LBKRB,6101
LBKRC,6101
LCABE,6101
LCACE,6101
LCAMF,6101
LCAUZ,6101
LCAVH,6101
LCAVJ,6101
LCAVL,6101
LCAVX,6101
LCBJB,6101
LCBJD,6101
LCBJF,6101
LCBJH,6101
LCBJJ,6101
LCCQC,6101
LDACC,6101
