CGNDB_ID,HR_UID
OAADR,6201
OAAQK,6201
OABBP,6201
OABNP,6201
OABTD,6201
OADAD,6201
OADDB,6201
OADJS,6201
OADOO,6201
OADUM,6201
OAFEW,6201
OAFJB,6201
OAFVN,6201
OAGHL,6201
OAGQA,6201
OAGTH,6201
OAHOY,6201
OAIAY,595
OALHI,6201
OAMLL,6201
OANAZ,6201
OANSI,6201
OANWX,6201
OAOKW,6201
OARFR,6201
OARUS,6201
OASGW,6201
OATRP,6201
OATSD,6201
OATTU,6201
OAUDO,6201
OAUDP,6201
OAUGJ,6201
OAUPF,6201
OAUQK,6201
OAUQP,6201
OAUSN,2404
OBCLF,6201
OBCLG,6201
OBCLH,6201
OBCRT,6201
OEBHX,6201
OEBHY,6201
